portal,sex,modality,studies,donors,organs,tissue_blocks,tissue_sections,datasets,cell_types,cells
GTEx,Female,sc_transcriptomics,1,5,3,6,0,6,141,142466
GTEx,Male,sc_transcriptomics,1,5,4,8,0,8,189,183482
HCA,Female,sc_transcriptomics,2,16,10,66,0,66,240,1024294
HCA,Male,sc_transcriptomics,2,12,8,54,0,55,218,989207
HTAN,Male,sc_proteomics,0,2,2,2,0,31,37,2694470
HuBMAP,Female,sc_proteomics,0,17,7,38,16,38,56,11396859
HuBMAP,Female,sc_transcriptomics,0,28,11,77,88,139,307,4286010
HuBMAP,Male,sc_proteomics,0,20,8,66,48,90,66,20930618
HuBMAP,Male,sc_transcriptomics,0,39,10,101,75,243,316,11440908
NHLBI/LungMap,Female,sc_transcriptomics,1,1,1,1,0,1,105,22923
NHLBI/LungMap,Male,sc_transcriptomics,1,2,1,2,0,2,106,27034
SenNet,Female,sc_proteomics,0,2,1,2,2,2,25,4985010
SenNet,Female,sc_transcriptomics,0,16,4,25,6,60,162,1491068
SenNet,Male,sc_proteomics,0,3,1,3,3,3,25,3933835
SenNet,Male,sc_transcriptomics,0,16,2,21,10,63,161,2760311
