tool,cell_id,dataset_count
azimuth,https://purl.org/ccf/ASCTB-TEMP_alveolar-m-proliferating,7
azimuth,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,274
azimuth,https://purl.org/ccf/ASCTB-TEMP_interstitial-m-perivascular,71
azimuth,https://purl.org/ccf/ASCTB-TEMP_monocyte-derived-m,121
azimuth,https://purl.org/ccf/ASCTB-TEMP_non-classical-monocytes,120
azimuth,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,264
azimuth,https://purl.org/ccf/ASCTB-TEMP_transitional-club-at2,119
celltypist,https://purl.org/ccf/ASCTB-TEMP_-cells-ins-,20
celltypist,https://purl.org/ccf/ASCTB-TEMP_activated-cd4-t,31
celltypist,https://purl.org/ccf/ASCTB-TEMP_activated-cd8-t,42
celltypist,https://purl.org/ccf/ASCTB-TEMP_activated-t,76
celltypist,https://purl.org/ccf/ASCTB-TEMP_adult-glia,76
celltypist,https://purl.org/ccf/ASCTB-TEMP_angiogenic-pericyte,64
celltypist,https://purl.org/ccf/ASCTB-TEMP_arterial-capillary,76
celltypist,https://purl.org/ccf/ASCTB-TEMP_best2-goblet-cell,65
celltypist,https://purl.org/ccf/ASCTB-TEMP_best4-epithelial,74
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a1-imn-,60
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a2-ipan-in-,70
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a3-ipan-in-,60
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a4-in-,72
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-b1-emn-,76
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-b2-emn-,46
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-b3-ipan-,65
celltypist,https://purl.org/ccf/ASCTB-TEMP_cd8-tmem,64
celltypist,https://purl.org/ccf/ASCTB-TEMP_cdc1,63
celltypist,https://purl.org/ccf/ASCTB-TEMP_cdc2,52
celltypist,https://purl.org/ccf/ASCTB-TEMP_clc-mast-cell,61
celltypist,https://purl.org/ccf/ASCTB-TEMP_cldn10-cells,59
celltypist,https://purl.org/ccf/ASCTB-TEMP_clp,63
celltypist,https://purl.org/ccf/ASCTB-TEMP_colonocyte,54
celltypist,https://purl.org/ccf/ASCTB-TEMP_contractile-pericyte-pln-,77
celltypist,https://purl.org/ccf/ASCTB-TEMP_cx3cr1-cd8-tmem,45
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-b-cell,77
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-ec,67
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-encc-glia,44
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-neuroblast,35
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-plasma-cell,78
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-stromal,11
celltypist,https://purl.org/ccf/ASCTB-TEMP_d-cells-sst-,65
celltypist,https://purl.org/ccf/ASCTB-TEMP_differentiating-glia,29
celltypist,https://purl.org/ccf/ASCTB-TEMP_distal-progenitor,52
celltypist,https://purl.org/ccf/ASCTB-TEMP_dz-gc-cell,66
celltypist,https://purl.org/ccf/ASCTB-TEMP_ec-cells-npw-,51
celltypist,https://purl.org/ccf/ASCTB-TEMP_ec-cells-tac1-,64
celltypist,https://purl.org/ccf/ASCTB-TEMP_eecs,79
celltypist,https://purl.org/ccf/ASCTB-TEMP_encc-glia-progenitor,41
celltypist,https://purl.org/ccf/ASCTB-TEMP_enterocyte,70
celltypist,https://purl.org/ccf/ASCTB-TEMP_fcrl4-memory-b,46
celltypist,https://purl.org/ccf/ASCTB-TEMP_fdc,55
celltypist,https://purl.org/ccf/ASCTB-TEMP_fetal-arterial-ec,55
celltypist,https://purl.org/ccf/ASCTB-TEMP_fetal-venous-ec,65
celltypist,https://purl.org/ccf/ASCTB-TEMP_gc-b-cell,41
celltypist,https://purl.org/ccf/ASCTB-TEMP_gdt,8
celltypist,https://purl.org/ccf/ASCTB-TEMP_germ,53
celltypist,https://purl.org/ccf/ASCTB-TEMP_glia-1-dhh-,49
celltypist,https://purl.org/ccf/ASCTB-TEMP_glia-2-eln-,64
celltypist,https://purl.org/ccf/ASCTB-TEMP_glia-3-bcan-,74
celltypist,https://purl.org/ccf/ASCTB-TEMP_goblet-cell,80
celltypist,https://purl.org/ccf/ASCTB-TEMP_i-cells-cck-,70
celltypist,https://purl.org/ccf/ASCTB-TEMP_icc,47
celltypist,https://purl.org/ccf/ASCTB-TEMP_iga-plasma-cell,46
celltypist,https://purl.org/ccf/ASCTB-TEMP_igg-plasma-cell,65
celltypist,https://purl.org/ccf/ASCTB-TEMP_igm-plasma-cell,9
celltypist,https://purl.org/ccf/ASCTB-TEMP_ilc2,48
celltypist,https://purl.org/ccf/ASCTB-TEMP_ilc3,52
celltypist,https://purl.org/ccf/ASCTB-TEMP_ilcp,57
celltypist,https://purl.org/ccf/ASCTB-TEMP_immature-b,26
celltypist,https://purl.org/ccf/ASCTB-TEMP_immature-pericyte,49
celltypist,https://purl.org/ccf/ASCTB-TEMP_k-cells-gip-,63
celltypist,https://purl.org/ccf/ASCTB-TEMP_l-cells-pyy-,71
celltypist,https://purl.org/ccf/ASCTB-TEMP_lec1-ackr4-,70
celltypist,https://purl.org/ccf/ASCTB-TEMP_lec2-madcam1-,38
