organ,organ_id,as_label,as_volume,rui_location_one_as_count,rui_location_count,rui_locations_with_ct,rui_locations_no_ct,ct_not_in_hra,ct_in_hra,ct_from_hra_only,experimental_ct_count,ct_labels_from_experimental_data,predicted_cells_per_ct
VHFHeart,UBERON:0000948,Posteromedial head of posterior papillary muscle of left ventricle,4401.498768462402,0,1,36,0,68,24,0,92,"cardiac endothelial cell; dendritic cell, human; endothelial cell of artery; pericyte; B cell; cardiac muscle cell; endocardial cell; mesothelial cell; myeloid cell; natural killer cell; endothelial cell; fat cell; kidney interstitial fibroblast; hepatocyte; macrophage; mast cell; Schwann cell; smooth muscle cell; gamma-delta T cell; capillary endothelial cell; endothelial cell of venule; endothelial cell of lymphatic vessel; T cell; innate lymphoid cell; CD8+T_trans; FB4_activated; regular ventricular cardiac myocyte; MAIT-like; EC5_art; FB3; PC1_vent; Mast; PC3_str; SAN_P_cell; NC1_glial; CD4+T_Th17; NC2_glial_NGF+; FB2; LYVE1+IGF1+MP; PC2_atria; EC3_cap; EC1_cap; regular atrial cardiac myocyte; EC10_CMC-like; aCM2; Adip2; PC4_CMC-like; vCM2; aCM3; FB1; EC2_cap; EC9_FB-like; EC4_immune; EC7_endocardial; vCM5; LYVE1+TIMD4+MP; FB5; LYVE1+MP_cycling; SMC1_basic; vCM1; vCM4; vCM3_stressed; EC6_ven; CD16+Mo; CD8+T_em; SMC2_art; FB6; CD4+T_act; CD14+Mo; CD4+T_naive; CD4+T_Th2; Neut; NK_CD56hi; Adip1; MoMP; EC8_ln; NK_CD16hi; CD4+T_Th1; B; CD4+T_Tfh; B_plasma; CD4+T_reg; CD8+T_te; CD8+T_cytox; aCM1; Purkinje_cell; fibroblast of cardiac tissue; Adip4; NC3_glial; T/NK_cycling; Adip3; aCM5",267.53829321663019693654
VHFHeart,UBERON:0000948,heart left ventricle,229312.7801882646,102,8,139,0,75,24,23,99,"cardiac endothelial cell; dendritic cell, human; endothelial cell of artery; myeloid cell; mesothelial cell; natural killer cell; pericyte; B cell; cardiac muscle cell; endothelial cell; fat cell; hepatocyte; endocardial cell; kidney interstitial fibroblast; innate lymphoid cell; macrophage; mast cell; EC8_ln; LYVE1+MP_cycling; FB4_activated; FB5; NC1_glial; NC2_glial_NGF+; EC10_CMC-like; Adip1; PC1_vent; fibroblast of cardiac tissue; regular ventricular cardiac myocyte; regular atrial cardiac myocyte; SMC1_basic; LYVE1+TIMD4+MP; vCM3_stressed; Neut; EC4_immune; aCM3; FB2; Schwann cell; smooth muscle cell; gamma-delta T cell; capillary endothelial cell; endothelial cell of lymphatic vessel; endothelial cell of venule; Adip2; CD8+T_trans; Meso; EC2_cap; vCM4; EC3_cap; EC6_ven; EC1_cap; CD4+T_naive; PC2_atria; MoMP; EC7_endocardial; FB1; CD8+T_em; EC5_art; vCM1; vCM2; NK_CD16hi; CD8+T_cytox; PC3_str; LYVE1+IGF1+MP; CD4+T_act; B_plasma; aCM1; NK_CD56hi; B; aCM4; PC4_CMC-like; SMC2_art; FB3; Mast; CD16+Mo; CD14+Mo; MAIT-like; CD8+T_te; FB6; EC9_FB-like; T/NK_cycling; Adip3; AVN_P_cell; aCM2; vCM5; T cell; NC3_glial; aCM5; CD4+T_Tfh; CD4+T_Th1; CD4+T_reg; NC6_schwann; AVN_bundle_cell; Purkinje_cell; SAN_P_cell; Adip4; NC5_glial; NC4_glial; CD4+T_Th17; CD4+T_Th2",323.17252198067932390035
VHFHeart,UBERON:0000948,heart right ventricle,78714.75572486871,49,3,86,0,71,24,22,95,"macrophage; pericyte; B cell; cardiac muscle cell; endocardial cell; endothelial cell; endothelial cell of venule; endothelial cell of lymphatic vessel; T cell; fibroblast of cardiac tissue; B; SMC1_basic; B_plasma; vCM3_stressed; EC10_CMC-like; vCM4; EC7_endocardial; Meso; FB4_activated; EC8_ln; NC2_glial_NGF+; CD8+T_te; CD8+T_trans; Adip1; CD8+T_cytox; CD4+T_Tfh; Adip2; MoMP; FB6; Mast; MAIT-like; CD8+T_em; CD4+T_naive; endothelial cell of artery; myeloid cell; natural killer cell; vCM1; CD4+T_act; FB2; FB1; NK_CD16hi; EC3_cap; EC1_cap; vCM5; LYVE1+IGF1+MP; FB5; PC1_vent; vCM2; aCM3; EC5_art; Purkinje_cell; LYVE1+MP_cycling; Adip4; SMC2_art; CD4+T_reg; Neut; aCM1; T/NK_cycling; regular ventricular cardiac myocyte; PC3_str; Schwann cell; smooth muscle cell; gamma-delta T cell; capillary endothelial cell; hepatocyte; NC3_glial; EC9_FB-like; SAN_P_cell; Adip3; NK_CD56hi; AVN_P_cell; CD4+T_Th17; aCM4; dendritic cell, human; mesothelial cell; fat cell; kidney interstitial fibroblast; cardiac endothelial cell; innate lymphoid cell; mast cell; PC2_atria; EC6_ven; NC1_glial; EC4_immune; CD16+Mo; EC2_cap; CD4+T_Th1; PC4_CMC-like; LYVE1+TIMD4+MP; aCM2; CD14+Mo; regular atrial cardiac myocyte; FB3; CD4+T_Th2; aCM5",263.56526520051746442432
VHFHeart,UBERON:0000948,interventricular septum,65894.53465930313,0,2,37,0,68,24,19,92,"B cell; cardiac muscle cell; endocardial cell; endothelial cell; fat cell; kidney interstitial fibroblast; hepatocyte; innate lymphoid cell; macrophage; mast cell; Schwann cell; smooth muscle cell; gamma-delta T cell; capillary endothelial cell; endothelial cell of venule; endothelial cell of lymphatic vessel; T cell; EC4_immune; FB1; FB5; LYVE1+TIMD4+MP; LYVE1+MP_cycling; CD8+T_te; B_plasma; MoMP; CD4+T_reg; Adip1; CD14+Mo; EC8_ln; vCM4; CD16+Mo; CD4+T_Th2; CD8+T_cytox; vCM1; NK_CD16hi; NK_CD56hi; CD4+T_act; aCM1; Purkinje_cell; CD8+T_em; SMC2_art; fibroblast of cardiac tissue; Neut; EC2_cap; EC9_FB-like; vCM5; SMC1_basic; vCM3_stressed; EC6_ven; FB6; CD4+T_Th1; CD4+T_naive; B; CD4+T_Tfh; Adip4; NC3_glial; T/NK_cycling; mesothelial cell; myeloid cell; NC1_glial; CD4+T_Th17; EC7_endocardial; NC2_glial_NGF+; FB2; LYVE1+IGF1+MP; PC2_atria; EC3_cap; EC1_cap; regular atrial cardiac myocyte; EC10_CMC-like; aCM2; Adip2; PC4_CMC-like; vCM2; aCM3; CD8+T_trans; FB4_activated; regular ventricular cardiac myocyte; MAIT-like; EC5_art; FB3; PC1_vent; Mast; PC3_str; SAN_P_cell; Adip3; aCM5; natural killer cell; pericyte; dendritic cell, human; cardiac endothelial cell; endothelial cell of artery",304.71734083316030880160
VHFHeart,UBERON:0000948,left cardiac atrium,18115.96846829785,49,1,49,0,70,23,22,93,"natural killer cell; pericyte; cardiac endothelial cell; dendritic cell, human; endothelial cell of artery; fat cell; kidney interstitial fibroblast; hepatocyte; innate lymphoid cell; macrophage; mast cell; Schwann cell; smooth muscle cell; capillary endothelial cell; CD8+T_cytox; aCM1; fibroblast of cardiac tissue; aCM4; CD4+T_Th1; EC5_art; NK_CD16hi; CD8+T_trans; EC7_endocardial; Adip2; CD8+T_te; Mast; Neut; EC8_ln; FB5; LYVE1+TIMD4+MP; LYVE1+MP_cycling; B; NC6_schwann; FB1; EC1_cap; FB4_activated; EC2_cap; PC1_vent; EC3_cap; PC3_str; FB2; EC4_immune; CD14+Mo; B_plasma; MoMP; aCM3; EC10_CMC-like; aCM2; Adip4; CD16+Mo; LYVE1+IGF1+MP; CD8+T_em; Meso; Purkinje_cell; CD4+T_Th2; NK_CD56hi; CD4+T_act; CD4+T_naive; NC1_glial; NC2_glial_NGF+; Adip1; SMC2_art; vCM4; MAIT-like; FB3; EC6_ven; PC2_atria; mesothelial cell; myeloid cell; endothelial cell of venule; endocardial cell; endothelial cell; B cell; cardiac muscle cell; endothelial cell of lymphatic vessel; T cell; vCM1; CD4+T_Tfh; SAN_P_cell; T/NK_cycling; AVN_P_cell; vCM3_stressed; SMC1_basic; aCM5; PC4_CMC-like; vCM2; Adip3; regular atrial cardiac myocyte; regular ventricular cardiac myocyte; CD4+T_reg; FB6; NC4_glial; vCM5",149.79795775877116425205
VHFHeart,UBERON:0000948,right cardiac atrium,33225.9013445354,36,1,36,0,67,23,26,90,"MoMP; T/NK_cycling; LYVE1+MP_cycling; B_plasma; B; EC5_art; CD4+T_act; MAIT-like; FB5; aCM1; CD4+T_reg; CD8+T_trans; vCM3_stressed; Meso; PC1_vent; aCM3; LYVE1+TIMD4+MP; Adip3; aCM5; vCM1; NC6_schwann; FB6; EC9_FB-like; LYVE1+IGF1+MP; CD14+Mo; FB3; regular atrial cardiac myocyte; fibroblast of cardiac tissue; EC4_immune; FB4_activated; B cell; cardiac muscle cell; endocardial cell; endothelial cell; fat cell; hepatocyte; innate lymphoid cell; macrophage; mast cell; Schwann cell; smooth muscle cell; kidney interstitial fibroblast; cardiac endothelial cell; dendritic cell, human; endothelial cell of artery; SMC2_art; PC2_atria; NK_CD16hi; NK_CD56hi; CD8+T_em; CD8+T_cytox; aCM2; EC2_cap; CD4+T_naive; PC4_CMC-like; FB1; EC1_cap; CD4+T_Tfh; Adip2; aCM4; NC4_glial; NC2_glial_NGF+; EC7_endocardial; SMC1_basic; FB2; PC3_str; Mast; myeloid cell; natural killer cell; pericyte; endothelial cell of venule; endothelial cell of lymphatic vessel; capillary endothelial cell; mesothelial cell; EC8_ln; Adip1; EC3_cap; EC6_ven; EC10_CMC-like; CD8+T_te; T cell; CD16+Mo; NC1_glial; regular ventricular cardiac myocyte; CD4+T_Th2; Adip4; NC5_glial; AVN_P_cell; NC3_glial; CD4+T_Th1",105.20770065075921908894
VHFLargeIntestine,UBERON:0000059,ascending colon,46838.66491802995,0,2,2,0,25,15,37,40,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; enterocyte of epithelium of large intestine; mast cell; monocyte; neutrophil; paneth cell of colon; plasma cell; transit amplifying cell of colon; intestinal tuft cell; Lymphatic; fibroblast; CD4+ T cell; Plasma; CD7+ Immune; M1 Macrophage; MUC1+ Enterocyte; Cycling TA; Goblet; TA; Neutrophil; ICC; NK; Smooth muscle; CD57+ Enterocyte; Paneth; Nerve; CD8+ T; intestinal enteroendocrine cell; gut endothelial cell; large intestine goblet cell; Stroma; CD66+ Enterocyte; Enterocyte; B; Endothelial; M2 Macrophage; Neuroendocrine; DC",536.97991730655640874188
VHFLargeIntestine,UBERON:0000059,caecum,31765.15370754535,0,2,2,0,25,15,36,40,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; enterocyte of epithelium of large intestine; mast cell; monocyte; neutrophil; paneth cell of colon; plasma cell; transit amplifying cell of colon; intestinal tuft cell; Lymphatic; Nerve; CD8+ T; intestinal enteroendocrine cell; gut endothelial cell; large intestine goblet cell; Smooth muscle; Stroma; Plasma; ICC; B; CD66+ Enterocyte; NK; Goblet; CD7+ Immune; CD57+ Enterocyte; DC; Cycling TA; Endothelial; TA; M2 Macrophage; M1 Macrophage; Neuroendocrine; Enterocyte; Neutrophil; Paneth; MUC1+ Enterocyte; CD4+ T cell; fibroblast",536.99271402550091074681
VHFLargeIntestine,UBERON:0000059,descending colon,140721.8643302251,3,3,3,0,25,15,37,40,"transit amplifying cell of colon; intestinal tuft cell; Lymphatic; Nerve; CD8+ T; Neuroendocrine; M1 Macrophage; Stroma; CD7+ Immune; MUC1+ Enterocyte; NK; M2 Macrophage; Enterocyte; DC; Endothelial; Plasma; CD4+ T cell; CD57+ Enterocyte; Neutrophil; B; TA; CD66+ Enterocyte; ICC; Smooth muscle; Paneth; Cycling TA; Goblet; gut endothelial cell; intestinal enteroendocrine cell; large intestine goblet cell; B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; enterocyte of epithelium of large intestine; fibroblast; mast cell; monocyte; neutrophil; paneth cell of colon; plasma cell",826.36028476989575387745
VHFLargeIntestine,UBERON:0000059,sigmoid colon,30343.709589328162,3,3,3,0,25,15,37,40,"Smooth muscle; Neuroendocrine; Goblet; Plasma; ICC; TA; M1 Macrophage; NK; Endothelial; M2 Macrophage; Cycling TA; CD66+ Enterocyte; CD4+ T cell; CD7+ Immune; Stroma; Enterocyte; MUC1+ Enterocyte; B; Paneth; Neutrophil; CD57+ Enterocyte; intestinal enteroendocrine cell; gut endothelial cell; large intestine goblet cell; monocyte; neutrophil; paneth cell of colon; plasma cell; transit amplifying cell of colon; intestinal tuft cell; Lymphatic; Nerve; CD8+ T; DC; B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; enterocyte of epithelium of large intestine; mast cell; fibroblast",456.86700426439232409382
