tool,cell_id,dataset_count
azimuth,https://purl.org/ccf/ASCTB-TEMP_alveolar-m-proliferating,7
azimuth,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,267
azimuth,https://purl.org/ccf/ASCTB-TEMP_interstitial-m-perivascular,68
azimuth,https://purl.org/ccf/ASCTB-TEMP_monocyte-derived-m,118
azimuth,https://purl.org/ccf/ASCTB-TEMP_non-classical-monocytes,117
azimuth,https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,257
azimuth,https://purl.org/ccf/ASCTB-TEMP_transitional-club-at2,116
celltypist,https://purl.org/ccf/ASCTB-TEMP_-cells-ins-,19
celltypist,https://purl.org/ccf/ASCTB-TEMP_activated-cd4-t,30
celltypist,https://purl.org/ccf/ASCTB-TEMP_activated-cd8-t,40
celltypist,https://purl.org/ccf/ASCTB-TEMP_activated-t,74
celltypist,https://purl.org/ccf/ASCTB-TEMP_adult-glia,74
celltypist,https://purl.org/ccf/ASCTB-TEMP_angiogenic-pericyte,62
celltypist,https://purl.org/ccf/ASCTB-TEMP_arterial-capillary,74
celltypist,https://purl.org/ccf/ASCTB-TEMP_best2-goblet-cell,63
celltypist,https://purl.org/ccf/ASCTB-TEMP_best4-epithelial,72
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a1-imn-,58
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a2-ipan-in-,68
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a3-ipan-in-,58
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-a4-in-,70
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-b1-emn-,74
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-b2-emn-,45
celltypist,https://purl.org/ccf/ASCTB-TEMP_branch-b3-ipan-,63
celltypist,https://purl.org/ccf/ASCTB-TEMP_cd8-tmem,62
celltypist,https://purl.org/ccf/ASCTB-TEMP_cdc1,61
celltypist,https://purl.org/ccf/ASCTB-TEMP_cdc2,50
celltypist,https://purl.org/ccf/ASCTB-TEMP_clc-mast-cell,59
celltypist,https://purl.org/ccf/ASCTB-TEMP_cldn10-cells,57
celltypist,https://purl.org/ccf/ASCTB-TEMP_clp,61
celltypist,https://purl.org/ccf/ASCTB-TEMP_colonocyte,52
celltypist,https://purl.org/ccf/ASCTB-TEMP_contractile-pericyte-pln-,75
celltypist,https://purl.org/ccf/ASCTB-TEMP_cx3cr1-cd8-tmem,43
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-b-cell,75
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-ec,65
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-encc-glia,42
celltypist,https://purl.org/ccf/ASCTB-TEMP_cycling-neuroblast,33
