tool,cell_id,cell_label,count,avg_percentage_of_total
azimuth,http://purl.obolibrary.org/obo/CL_4028002,alveolar capillary type 1 endothelial cell,1067664,0.18331426618137683
azimuth,http://purl.obolibrary.org/obo/CL_0002062,pulmonary alveolar type 1 cell,692194,0.14947435036904935
azimuth,http://purl.obolibrary.org/obo/CL_0002063,pulmonary alveolar type 2 cell,330530,0.1504594558093757
azimuth,http://purl.obolibrary.org/obo/CL_0002145,ciliated columnar cell of tracheobronchial tree,290708,0.04846739968779146
azimuth,http://purl.obolibrary.org/obo/CL_0000624,"CD4-positive, alpha-beta T cell",202292,0.046189907847936404
azimuth,http://purl.obolibrary.org/obo/CL_4028004,alveolar type 1 fibroblast cell,200920,0.0683779378669038
azimuth,http://purl.obolibrary.org/obo/CL_0000625,"CD8-positive, alpha-beta T cell",198830,0.05169480042316236
azimuth,http://purl.obolibrary.org/obo/CL_4033008,vein endothelial cell of respiratory system,153056,0.019773039823832637
azimuth,http://purl.obolibrary.org/obo/CL_0017000,pulmonary ionocyte,95524,0.013673742806996193
azimuth,http://purl.obolibrary.org/obo/CL_1001568,pulmonary artery endothelial cell,79020,0.015048573013798194
azimuth,http://purl.obolibrary.org/obo/CL_0009089,lung pericyte,54882,0.016838541194842935
azimuth,http://purl.obolibrary.org/obo/CL_4028006,alveolar adventitial fibroblast,40252,0.01438793280265613
azimuth,http://purl.obolibrary.org/obo/CL_4028003,alveolar capillary type 2 endothelial cell,39498,0.021428711674127455
azimuth,http://purl.obolibrary.org/obo/CL_0000583,alveolar macrophage,34590,0.05315959226062572
azimuth,http://purl.obolibrary.org/obo/CL_0009086,endothelial cell of respiratory system lymphatic vessel,30328,0.01056820963147995
azimuth,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell,29612,0.006860971047586494
azimuth,http://purl.obolibrary.org/obo/CL_0002633,respiratory basal cell,27322,0.006379874801141264
azimuth,http://purl.obolibrary.org/obo/CL_0000860,classical monocyte,22852,0.018852602436734884
azimuth,http://purl.obolibrary.org/obo/CL_0000236,B cell,20870,0.010441713991666442
azimuth,http://purl.obolibrary.org/obo/CL_0002399,CD1c-positive myeloid dendritic cell,20544,0.01006098570555945
azimuth,https://purl.org/ccf/ASCTB-TEMP_monocyte-derived-m,Monocyte-derived M��,19958,0.034288184385193765
azimuth,https://purl.org/ccf/ASCTB-TEMP_non-classical-monocytes,Non-classical monocytes,18980,0.0227555121100494
azimuth,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast cell,15056,0.008476656220632789
azimuth,https://purl.org/ccf/ASCTB-TEMP_transitional-club-at2,Transitional Club-AT2,9862,0.008397788541844397
azimuth,http://purl.obolibrary.org/obo/CL_0000097,mast cell,8168,0.0037128110512404454
azimuth,http://purl.obolibrary.org/obo/CL_0000623,natural killer cell,5564,0.0026832520708695356
azimuth,http://purl.obolibrary.org/obo/CL_0002480,Goblet (nasal),4122,0.0012606919315464545
azimuth,https://purl.org/ccf/ASCTB-TEMP_interstitial-m-perivascular,Interstitial M�� perivascular,3952,0.010031500089594587
azimuth,http://purl.obolibrary.org/obo/CL_0000158,club cell,2858,0.0020704542658198846
azimuth,http://purl.obolibrary.org/obo/CL_0000786,plasma cell,2622,0.0024433893813031655
azimuth,http://purl.obolibrary.org/obo/CL_0002241,pulmonary interstitial fibroblast,1574,0.011799609008689411
azimuth,https://purl.org/ccf/ASCTB-TEMP_alveolar-m-proliferating,Alveolar M�� proliferating,956,0.008827871964428722
azimuth,http://purl.obolibrary.org/obo/CL_0001058,"plasmacytoid dendritic cell, human",934,3.575236523047707E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033048,respiratory suprabasal cell,848,4.4717003929301886E-4
azimuth,http://purl.obolibrary.org/obo/CL_0002075,brush cell of tracheobronchial tree,768,3.758742541947934E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033005,serous secreting cell of bronchus submucosal gland,500,0.0038755408335726573
azimuth,http://purl.obolibrary.org/obo/CL_4033044,deuterosomal cell,322,2.3678833401911197E-4
azimuth,http://purl.obolibrary.org/obo/CL_0005012,multi-ciliated epithelial cell,286,0.001999575177673867
azimuth,http://purl.obolibrary.org/obo/CL_0019003,tracheobronchial goblet cell,230,0.0021318959641074713
azimuth,http://purl.obolibrary.org/obo/CL_0000084,T cell,228,8.092430764660432E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033023,airway submucosal gland collecting duct epithelial cell,116,3.172333489489552E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033022,mucus secreting cell of bronchus submucosal gland,104,2.8285920774720214E-4
azimuth,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell,68,6.745705534741918E-5
