dataset,tool,cell_id,cell_label,count,percentage_of_total
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_0002063,AT2,838,0.1686116700201207
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_0002062,AT1,740,0.1488933601609658
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_0000583,Alveolar macrophages,697,0.1402414486921529
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_4028002,EC general capillary,473,0.09517102615694165
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_4028004,Alveolar fibroblasts,470,0.09456740442655935
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_0000624,CD4 T cells,229,0.04607645875251509
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,https://purl.org/ccf/ASCTB-TEMP_non-classical-monocytes,Non-classical monocytes,212,0.04265593561368209
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_0000625,CD8 T cells,205,0.04124748490945674
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_4028003,EC aerocyte capillary,199,0.04004024144869215
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_4028006,Adventitial fibroblasts,167,0.03360160965794769
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_0002145,Multiciliated (non-nasal),143,0.02877263581488933
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_0009086,Lymphatic EC differentiating,142,0.02857142857142857
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_0009089,Pericytes,111,0.02233400402414487
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_0002399,DC2,53,0.01066398390342052
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,http://purl.obolibrary.org/obo/CL_0000236,B cells,50,0.01006036217303823
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,https://purl.org/ccf/ASCTB-TEMP_transitional-club-at2,Transitional Club-AT2,47,0.009456740442655936
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,azimuth,https://purl.org/ccf/ASCTB-TEMP_interstitial-m-perivascular,Interstitial M�� perivascular,42,0.008450704225352112
