uuid	hubmap_id	created_by_user_displayname	created_by_user_email	created_timestamp	donor.hubmap_id	group_name	last_modified_timestamp	mapped_consortium	mapped_statusdata_access_level	origin_samples_unique_mapped_organs	published_timestamp	status
#												
2d3dbd5e5a3d9d5cfc7a46f06815a4eb	HBM364.XLVH.839	HuBMAP Process	hubmap@hubmapconsortium.org	1639934544755	HBM896.VZXP.254	California Institute of Technology TMC	1699000352344	HuBMAP		['Heart']	1646159325883	Published
35f5b75a7e3d0711f16b0a10219586fb	HBM743.RNWC.765	HuBMAP Process	hubmap@hubmapconsortium.org	1624562920296	HBM295.GHMR.582	University of California San Diego TMC	1698977882644	HuBMAP		['Kidney (Left)']	1624926513835	Published
c6bb00096b0cf40751f9d6003fb730c7	HBM943.DFKN.947	HuBMAP Process	hubmap@hubmapconsortium.org	1639934500062	HBM724.WJQQ.227	California Institute of Technology TMC	1699000231415	HuBMAP		['Heart']	1646159328578	Published
2d0deacd8be70eefbdc33ac107d97e58	HBM296.KZXD.676	HuBMAP Process	hubmap@hubmapconsortium.org	1639729194548	HBM889.RSJQ.447	California Institute of Technology TMC	1698989601293	HuBMAP		['Heart']	1646159328935	Published
42ab155ddff1d33fe1c505c067828614	HBM322.XJQZ.894	HuBMAP Process	hubmap@hubmapconsortium.org	1624560723448	HBM984.MHHN.738	University of California San Diego TMC	1698977761686	HuBMAP		['Kidney (Left)']	1624926516084	Published
fe0ded5fc0355c95239f9c040dd31e99	HBM324.XBMF.465	HuBMAP Process	hubmap@hubmapconsortium.org	1679501633618	HBM939.TVDQ.296	University of California San Diego TMC	1699295632924	HuBMAP		['Kidney (Left)']	1681089817896	Published
33b9c54d7c295897826e1e5271d4fc24	HBM957.TXXZ.387	HuBMAP Process	hubmap@hubmapconsortium.org	1679076963486	HBM769.KPJF.673	Stanford TMC	1699296478858	HuBMAP		['Heart']	1686062092233	Published
8c5e705001d5cc1c40dbd963ad848486	HBM745.HTBD.332	HuBMAP Process	hubmap@hubmapconsortium.org	1625261881446	HBM289.BLHF.363	University of California San Diego TMC	1698984889307	HuBMAP		['Kidney (Right)']	1643320162409	Published
91cfb45f5d398e950ed65786c87f4372	HBM226.HRTZ.874	HuBMAP Process	hubmap@hubmapconsortium.org	1624544993645	HBM477.DBJN.952	University of California San Diego TMC	1698976792831	HuBMAP		['Kidney (Right)']	1624926512322	Published
0e184744c4443f859984bbd3b7e95d24	HBM954.WWJF.865	HuBMAP Process	hubmap@hubmapconsortium.org	1640632435695	HBM796.MXZR.526	EXT - Human Cell Atlas	1699004218447	Human Cell Atlas		['Liver']	1646269760344	Published
fd57a928d9f3cee7e95d284f1d5b9935	HBM563.ZTQV.233	HuBMAP Process	hubmap@hubmapconsortium.org	1639780754057	HBM724.WJQQ.227	California Institute of Technology TMC	1698999989560	HuBMAP		['Heart']	1646159328215	Published
a48ab0bf5d8084da24859c4e64336e9c	HBM537.MVDQ.934	HuBMAP Process	hubmap@hubmapconsortium.org	1679076963295	HBM837.QTCQ.265	Stanford TMC	1699296357760	HuBMAP		['Heart']	1686062090641	Published
739184f7ec84d93a35360cde81cc026c	HBM525.SJRT.585	HuBMAP Process	hubmap@hubmapconsortium.org	1624545336693	HBM289.BLHF.363	University of California San Diego TMC	1698976913709	HuBMAP		['Kidney (Right)']	1624926509947	Published
d6e6c8e452ed628425e9e928306a6db0	HBM592.DXHG.266	HuBMAP Process	hubmap@hubmapconsortium.org	1639729788440	HBM796.ZVVX.764	California Institute of Technology TMC	1698989722392	HuBMAP		['Heart']	1646159327021	Published
b1ac71625c1aba9d819fae1725c27a42	HBM573.MWDW.928	HuBMAP Process	hubmap@hubmapconsortium.org	1639766193142	HBM796.ZVVX.764	California Institute of Technology TMC	1698993587864	HuBMAP		['Heart']	1646159326652	Published
853ab5348f619043ab2f997ac8ae14f0	HBM344.QRJX.878	HuBMAP Process	hubmap@hubmapconsortium.org	1624545486438	HBM277.DBXJ.256	University of California San Diego TMC	1698977034653	HuBMAP		['Kidney (Left)']	1624926513079	Published
3febd011f193673c6f87a60718dd8f96	HBM673.GSSW.364	HuBMAP Process	hubmap@hubmapconsortium.org	1679074875090	HBM943.SCQQ.877	University of California San Diego TMC	1699296116155	HuBMAP		['Lung (Right)']	1691431227499	Published
be103f95cc6c1a3e48f099d1bd149a49	HBM869.HBBF.473	HuBMAP Process	hubmap@hubmapconsortium.org	1624547607486	HBM984.MHHN.738	University of California San Diego TMC	1698977397382	HuBMAP		['Kidney (Left)']	1624926509540	Published
