organId,organ,sex,modality,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0004539,right kidney,Male,sc_bulk,renal papilla,kidney capsule,0.9249612531937624,6,9
UBERON:0004538,left kidney,Male,sc_bulk,renal papilla,kidney capsule,0.9249612531937624,6,9
UBERON:0004538,left kidney,Male,sc_bulk,renal column,kidney capsule,0.15539363607857437,23,9
UBERON:0004539,right kidney,Male,sc_bulk,renal column,kidney capsule,0.15539363607857437,23,9
UBERON:0004539,right kidney,Female,sc_bulk,renal column,kidney capsule,0.7056431155365013,23,9
UBERON:0004538,left kidney,Female,sc_bulk,renal column,kidney capsule,0.7056431155365013,23,9
UBERON:0004538,left kidney,Male,sc_bulk,renal papilla,kidney pyramid,0.3568704502614363,6,116
UBERON:0004539,right kidney,Male,sc_bulk,renal papilla,kidney pyramid,0.3568704502614363,6,116
UBERON:0004538,left kidney,Female,sc_bulk,renal column,hilum of kidney,0.9436688762980749,23,8
UBERON:0004538,left kidney,Male,sc_bulk,renal column,hilum of kidney,0.9999999999999999,23,8
UBERON:0004539,right kidney,Male,sc_bulk,kidney pyramid,hilum of kidney,0.7164432710110649,116,8
UBERON:0004538,left kidney,Male,sc_bulk,kidney pyramid,hilum of kidney,0.7164432710110649,116,8
UBERON:0004539,right kidney,Female,sc_bulk,kidney pyramid,hilum of kidney,0.7209473441913201,116,8
UBERON:0004539,right kidney,Female,sc_bulk,outer cortex of kidney,kidney pyramid,0.9403738121118893,154,116
UBERON:0004539,right kidney,Male,sc_bulk,outer cortex of kidney,kidney pyramid,0.7850293146882393,154,116
UBERON:0004538,left kidney,Female,sc_bulk,outer cortex of kidney,kidney pyramid,0.9403738121118893,154,116
UBERON:0004538,left kidney,Male,sc_bulk,outer cortex of kidney,kidney pyramid,0.7850293146882393,154,116
UBERON:0002108,small intestine,Female,sc_bulk,Descending part of duodenum,Horizontal part of duodenum,0.97214970193940615,18,18
UBERON:0002108,small intestine,Male,sc_proteomics,Descending part of duodenum,Horizontal part of duodenum,0.9906690739026442,18,18
UBERON:0002108,small intestine,Female,sc_proteomics,Descending part of duodenum,Horizontal part of duodenum,0.7211960159620722,18,18
UBERON:0002108,small intestine,Male,sc_bulk,Descending part of duodenum,Horizontal part of duodenum,0.99044819337962455,18,18
UBERON:0004538,left kidney,Male,sc_bulk,renal papilla,renal column,0.13387130985297216,6,23
UBERON:0004539,right kidney,Male,sc_bulk,renal papilla,renal column,0.13387130985297216,6,23
UBERON:0004538,left kidney,Male,sc_bulk,renal papilla,hilum of kidney,0.1338713098529722,6,8
UBERON:0004539,right kidney,Male,sc_bulk,renal papilla,hilum of kidney,0.1338713098529722,6,8
