sex,dataset,organ,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
Female,https://gtexportal.org/home/tissue/Kidney_Cortex#FDonors_TissueBlock1_TissueBlock1_Dataset1,Kidney,,false,false,true,false,true,GTEx,,,
Male,https://gtexportal.org/home/tissue/Kidney_Cortex#MDonors_TissueBlock1_TissueBlock1_Dataset1,Kidney,,false,false,true,false,true,GTEx,,,
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP2$kidney,Kidney,27,true,true,true,true,false,HCA,Tabula Sapiens,https://doi.org/10.1126/science.abl4896,undefined undefined
Female,http://purl.org/ccf/ctpop_datasets:HBM243.TTRM.823,Kidney,,false,false,true,false,true,HuBMAP,,,
Male,http://purl.org/ccf/ctpop_datasets:HBM297.XVDG.492,Kidney,,false,false,true,false,true,HuBMAP,,,
Female,http://purl.org/ccf/ctpop_datasets:HBM476.ZWMS.768,Kidney,,false,false,true,false,true,HuBMAP,,,
Male,http://purl.org/ccf/ctpop_datasets:HBM532.RKTB.483,Kidney,,false,false,true,false,true,HuBMAP,,,
Female,http://purl.org/ccf/ctpop_datasets:HBM692.FLDL.779,Kidney,,false,false,true,false,true,HuBMAP,,,
Male,http://purl.org/ccf/ctpop_datasets:HBM752.ZRBH.538,Kidney,,false,false,true,false,true,HuBMAP,,,
Male,http://purl.org/ccf/ctpop_datasets:HBM785.LNQZ.992,Kidney,,false,false,true,false,true,HuBMAP,,,
Female,http://purl.org/ccf/ctpop_datasets:HBM837.TDQQ.538,Kidney,,false,false,true,false,true,HuBMAP,,,
Female,http://purl.org/ccf/ctpop_datasets:HBM865.TRVX.355,Kidney,,false,false,true,false,true,HuBMAP,,,
Female,http://purl.org/ccf/ctpop_datasets:HBM932.TBDW.952,Kidney,,false,false,true,true,true,HuBMAP,,https://doi.org/10.1038/s41586-023-05769-3,
Male,https://entity.api.hubmapconsortium.org/entities/0027cb59bcb4a34d5db83acaf934a9d9,Kidney,43,true,true,true,false,true,HuBMAP,,,
Male,https://entity.api.hubmapconsortium.org/entities/00318be0b7cfa3c6ed7fbeab08fe700b,Kidney,45,true,true,true,false,true,HuBMAP,,,
Male,https://entity.api.hubmapconsortium.org/entities/004f4b7e41ca0a6733e64792a3126513,Kidney,,false,false,true,false,true,HuBMAP,,,
Male,https://entity.api.hubmapconsortium.org/entities/0066713ca95c03c52cb40f90ce8bbdb8,Kidney,,false,false,true,false,true,HuBMAP,,,
Female,https://entity.api.hubmapconsortium.org/entities/00ca76f45eb3e75156f62e1546f979bc,Kidney,,false,false,true,false,true,HuBMAP,,,
Female,https://entity.api.hubmapconsortium.org/entities/00d9d4bf8b010eaa6fca4361476cd2ad,Kidney,,false,false,true,false,true,HuBMAP,,,
Male,https://entity.api.hubmapconsortium.org/entities/00e256274c3dd0976313a73df36880f4,Kidney,,false,false,true,false,true,HuBMAP,,,
Female,https://entity.api.hubmapconsortium.org/entities/00f1ce42073a3dc6c442e9105f4e4f61,Kidney,,false,false,true,false,true,HuBMAP,,,
