sex,consortium,dataset_count,cell_count,modality
Female,Allen Institute for Brain Science,5,0,
Male,Allen Institute for Brain Science,5,0,
Female,CxG,2781,11713845,sc_transcriptomics
Female,CxG,1469,0,
Male,CxG,2946,14405504,sc_transcriptomics
Male,CxG,1271,0,
Unknown,CxG,355,1693544,sc_transcriptomics
Unknown,CxG,353,0,
Female,GTEx,7,47863,sc_transcriptomics
Female,GTEx,30,0,
Male,GTEx,8,70113,sc_transcriptomics
Male,GTEx,29,0,
Male,GUDMAP,12,0,
Female,HCA,50,323276,sc_transcriptomics
Female,HCA,101,0,
Male,HCA,53,345881,sc_transcriptomics
Male,HCA,79,0,
Male,"HIRN, ESPACE",1,0,
Female,HRA,1,0,
Male,HTAN,5,0,
Female,HuBMAP,140,3021191,sc_transcriptomics
Female,HuBMAP,23,1514227,sc_proteomics
Female,HuBMAP,1311,0,
Male,HuBMAP,255,6643168,sc_transcriptomics
Male,HuBMAP,84,16033284,sc_proteomics
Male,HuBMAP,1618,0,
Female,KPMP,14,58809,sc_transcriptomics
Female,KPMP,10,0,
Male,KPMP,13,54092,sc_transcriptomics
Male,KPMP,17,0,
Female,LungMap,4,0,
Male,LungMap,5,0,
Female,NHLBI/LungMap,2,9897,sc_transcriptomics
Male,NHLBI/LungMap,7,36603,sc_transcriptomics
Male,NHLBI/LungMap,1,0,
Female,SEA-AD,1,0,
Female,SPARC,38,0,
Male,SPARC,12,0,
Female,SenNet,421,0,
Male,SenNet,899,0,
Female,UEdinburgh,36,0,
Male,UEdinburgh,28,0,
Female,UIowa,20,0,
Male,UIowa,23,0,
