organId,organ,sex,modality,tool,total_organ_as_count,organ_as_count_with_collisions,rui_location_count,dataset_count,non_atlas_dataset_count
UBERON:0000059,large intestine,Female,sc_proteomics,sc_proteomics,11,5,8,8,186
UBERON:0000059,large intestine,Male,sc_proteomics,sc_proteomics,11,5,24,24,326
UBERON:0002097,skin of body,Female,sc_proteomics,sc_proteomics,1,1,3,3,33
UBERON:0002097,skin of body,Male,sc_proteomics,sc_proteomics,1,1,6,6,50
UBERON:0002108,small intestine,Female,sc_proteomics,sc_proteomics,11,7,8,8,184
UBERON:0002108,small intestine,Male,sc_proteomics,sc_proteomics,12,5,24,24,245
FMA:57987,Set of lactiferous glands in right breast,Female,sc_transcriptomics,popv,9,1,1,3,4
UBERON:0000948,heart,Female,sc_transcriptomics,popv,17,6,10,47,96
UBERON:0000948,heart,Female,sc_transcriptomics,celltypist,17,6,10,47,96
UBERON:0000948,heart,Female,sc_transcriptomics,azimuth,17,6,10,47,96
UBERON:0000948,heart,Male,sc_transcriptomics,popv,17,5,18,65,155
UBERON:0000948,heart,Male,sc_transcriptomics,azimuth,17,5,17,64,155
UBERON:0000948,heart,Male,sc_transcriptomics,celltypist,17,5,17,64,155
UBERON:0000059,large intestine,Female,sc_transcriptomics,celltypist,11,5,10,14,186
UBERON:0000059,large intestine,Female,sc_transcriptomics,popv,11,5,10,14,186
UBERON:0000059,large intestine,Male,sc_transcriptomics,popv,11,5,22,27,326
UBERON:0000059,large intestine,Male,sc_transcriptomics,celltypist,11,5,22,27,326
UBERON:0004538,left kidney,Female,sc_transcriptomics,azimuth,9,5,15,58,259
UBERON:0004538,left kidney,Male,sc_transcriptomics,azimuth,9,6,15,63,123
UBERON:0001223,left ureter,Female,sc_transcriptomics,azimuth,1,1,3,7,4
UBERON:0001223,left ureter,Male,sc_transcriptomics,azimuth,1,1,6,19,11
UBERON:0002107,liver,Male,sc_transcriptomics,celltypist,23,3,2,2,33
UBERON:0002107,liver,Male,sc_transcriptomics,popv,23,3,2,2,33
UBERON:0000079,male reproductive system,Male,sc_transcriptomics,popv,14,2,1,4,8
UBERON:0001004,respiratory system,Female,sc_transcriptomics,azimuth,62,11,17,37,176
UBERON:0001004,respiratory system,Female,sc_transcriptomics,celltypist,62,11,17,37,176
UBERON:0001004,respiratory system,Female,sc_transcriptomics,popv,62,11,17,37,176
UBERON:0001004,respiratory system,Male,sc_transcriptomics,celltypist,59,19,30,88,315
UBERON:0001004,respiratory system,Male,sc_transcriptomics,popv,59,19,31,90,315
UBERON:0001004,respiratory system,Male,sc_transcriptomics,azimuth,59,19,26,83,315
UBERON:0004539,right kidney,Female,sc_transcriptomics,azimuth,9,4,11,31,132
UBERON:0004539,right kidney,Male,sc_transcriptomics,azimuth,9,3,10,90,255
UBERON:0002097,skin of body,Male,sc_transcriptomics,popv,1,1,1,1,50
UBERON:0002108,small intestine,Female,sc_transcriptomics,celltypist,11,7,12,13,184
UBERON:0002108,small intestine,Female,sc_transcriptomics,popv,11,7,12,13,184
UBERON:0002108,small intestine,Male,sc_transcriptomics,celltypist,12,5,23,26,245
UBERON:0002108,small intestine,Male,sc_transcriptomics,popv,12,5,23,26,245
UBERON:0002106,spleen,Female,sc_transcriptomics,popv,6,2,1,2,19
UBERON:0002106,spleen,Male,sc_transcriptomics,popv,6,2,5,9,68
UBERON:0001255,urinary bladder,Female,sc_transcriptomics,popv,6,1,6,6,6
UBERON:0001255,urinary bladder,Male,sc_transcriptomics,popv,6,1,7,8,8
