sex,dataset,modality,organ,side,organ_id,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0001558,41,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,41,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0000065,41,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0013702,41,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0000467,41,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,41,true,true,false,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,41,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D032$lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0000170,41,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,46,true,true,false,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837#D046$lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0001004,46,true,true,true,true,false,NHLBI/LungMap,LungMAP — Human data from a broad age healthy donor group,https://doi.org/10.7554/eLife.62522,Allen Wang
