consortium,sex,dataset_count,atlas_dataset_count,test_dataset_count,excluded_dataset_count,no_rui_dataset_count,no_summary_dataset_count,modality,cell_count
Allen Institute for Brain Science,Female,5,0,5,0,0,5,N/A,0
Allen Institute for Brain Science,Male,6,0,6,0,0,6,N/A,0
CxG,Female,3118,0,2181,937,3118,3118,N/A,0
CxG,Male,2995,0,2173,822,2995,2995,N/A,0
CxG,Unknown,357,0,215,142,357,357,N/A,0
GTEx,Female,37,7,25,5,5,30,sc_transcriptomics,47863
GTEx,Male,37,8,25,4,4,29,sc_transcriptomics,70113
HCA,Female,116,40,36,40,40,76,sc_transcriptomics,659085
HCA,Male,113,42,29,42,42,71,sc_transcriptomics,799317
"HIRN, ESPACE",Male,1,0,1,0,0,1,N/A,0
HRA,Female,1,0,1,0,0,1,N/A,0
HTAN,Male,47,0,47,0,0,47,N/A,0
HuBMAP,Female,1613,190,1421,2,4,1423,sc_transcriptomics,5459585
HuBMAP,Female,1613,190,1421,2,4,1423,sc_proteomics,555082
HuBMAP,Male,2116,400,1716,0,8,1716,sc_transcriptomics,14810403
HuBMAP,Male,2116,400,1716,0,8,1716,sc_proteomics,2061512
HuBMAP,Unknown,68,9,59,0,0,59,sc_transcriptomics,61989
KPMP,Male,3,0,3,0,0,3,N/A,0
LungMap,Female,4,0,0,4,4,4,N/A,0
LungMap,Male,5,0,0,5,5,5,N/A,0
NHLBI/LungMap,Female,2,2,0,0,0,0,sc_transcriptomics,29691
NHLBI/LungMap,Male,8,7,1,0,0,1,sc_transcriptomics,109809
SEA-AD,Female,1,0,0,1,1,1,N/A,0
SPARC,Female,14,0,14,0,0,14,N/A,0
SPARC,Male,12,0,12,0,0,12,N/A,0
SenNet,Female,126,0,126,0,0,126,N/A,0
SenNet,Male,131,5,126,0,0,126,sc_transcriptomics,63629
SenNet,Unknown,6,2,4,0,2,4,sc_transcriptomics,43735
UEdinburgh,Female,36,0,36,0,0,36,N/A,0
UEdinburgh,Male,28,0,28,0,0,28,N/A,0
