consortium,sex,dataset_count,atlas_dataset_count,test_dataset_count,excluded_dataset_count,no_rui_dataset_count,no_summary_dataset_count,modality,cell_count
Allen Institute for Brain Science,Female,5,0,5,0,0,5,N/A,0
Allen Institute for Brain Science,Male,5,0,5,0,0,5,N/A,0
CxG,Female,3130,0,2181,949,3130,949,sc_transcriptomics,18537026
CxG,Male,3006,0,2166,840,3006,840,sc_transcriptomics,20620116
CxG,Unknown,360,0,219,141,360,141,sc_transcriptomics,1816502
GTEx,Female,37,7,25,5,5,30,sc_transcriptomics,123723
GTEx,Male,37,8,25,4,4,29,sc_transcriptomics,143256
HCA,Female,116,40,36,40,40,76,sc_transcriptomics,659085
HCA,Male,113,42,29,42,42,71,sc_transcriptomics,799317
"HIRN, ESPACE",Male,1,0,1,0,0,1,N/A,0
HRA,Female,1,0,1,0,0,1,N/A,0
HTAN,Male,47,0,47,0,0,47,N/A,0
HuBMAP,Female,1022,136,870,16,16,886,sc_proteomics,555082
HuBMAP,Female,1022,136,870,16,16,886,sc_transcriptomics,3340954
HuBMAP,Male,1463,309,1134,20,20,1154,sc_transcriptomics,10314608
HuBMAP,Male,1463,309,1134,20,20,1154,sc_proteomics,2061512
KPMP,Male,3,0,3,0,0,3,N/A,0
LungMap,Female,4,0,0,4,4,4,N/A,0
LungMap,Male,5,0,0,5,5,5,N/A,0
NHLBI/LungMap,Female,2,2,0,0,0,0,sc_transcriptomics,29691
NHLBI/LungMap,Male,8,7,1,0,0,1,sc_transcriptomics,109809
SEA-AD,Female,1,0,0,1,1,1,N/A,0
SPARC,Female,14,0,14,0,0,14,N/A,0
SPARC,Male,12,0,12,0,0,12,N/A,0
SenNet,Female,78,0,78,0,0,78,N/A,0
SenNet,Male,86,0,86,0,0,86,N/A,0
SenNet,Unknown,4,2,2,0,0,2,sc_transcriptomics,43735
UEdinburgh,Female,36,0,36,0,0,36,N/A,0
UEdinburgh,Male,28,0,28,0,0,28,N/A,0
