donor_id,block_id,dataset_id
https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S5_Zone_Of_Skin$TEMP_DONOR,https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S5_Zone_Of_Skin$TEMP_BLOCK,https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S5_Zone_Of_Skin
https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S4_Zone_Of_Skin$TEMP_DONOR,https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S4_Zone_Of_Skin$TEMP_BLOCK,https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S4_Zone_Of_Skin
https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S3_Zone_Of_Skin$TEMP_DONOR,https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S3_Zone_Of_Skin$TEMP_BLOCK,https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S3_Zone_Of_Skin
https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S2_Zone_Of_Skin$TEMP_DONOR,https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S2_Zone_Of_Skin$TEMP_BLOCK,https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S2_Zone_Of_Skin
https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S1_Zone_Of_Skin$TEMP_DONOR,https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S1_Zone_Of_Skin$TEMP_BLOCK,https://api.cellxgene.cziscience.com/dp/v1/collections/a25c9bbf-08bb-4be9-8516-f81f3604c9e5_S1_Zone_Of_Skin
https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F61_Yolk_Sac$TEMP_DONOR,https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F61_Yolk_Sac$TEMP_BLOCK,https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F61_Yolk_Sac
https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F37_Yolk_Sac$TEMP_DONOR,https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F37_Yolk_Sac$TEMP_BLOCK,https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F37_Yolk_Sac
https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F35_Yolk_Sac$TEMP_DONOR,https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F35_Yolk_Sac$TEMP_BLOCK,https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F35_Yolk_Sac
https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F32_Yolk_Sac$TEMP_DONOR,https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F32_Yolk_Sac$TEMP_BLOCK,https://api.cellxgene.cziscience.com/dp/v1/collections/e927e58f-e1df-4dcd-9902-aff180105041_F32_Yolk_Sac
https://api.cellxgene.cziscience.com/dp/v1/collections/c64ef2bc-3830-4fea-b8af-3ca86269c245_F61_Yolk_Sac$TEMP_DONOR,https://api.cellxgene.cziscience.com/dp/v1/collections/c64ef2bc-3830-4fea-b8af-3ca86269c245_F61_Yolk_Sac$TEMP_BLOCK,https://api.cellxgene.cziscience.com/dp/v1/collections/c64ef2bc-3830-4fea-b8af-3ca86269c245_F61_Yolk_Sac
