dataset,reported_organ,corridor,similarity
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9967014336068145
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9967014336068145
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9967014336068145
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9967014336068145
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9967014336068145
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9967014336068145
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/20a0c365-6a97-4224-ae14-16fba10c13f8,0.9967014336068145
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/9abfed4e-2fde-4d80-a8aa-7439a106d895,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/760368bf-6b4c-4d92-aa2b-24e17fd947d3,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/fdb0d1f7-94d5-4628-b345-dbe4975966fd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,0.9967014336068143
http://purl.org/ccf/1.5/05c11830-1526-4472-bd12-ea24dbcfd3cc,,http://purl.org/ccf/1.5/2156f837-2ab2-4305-8e7f-8084249e91cd,0.9967014336068143
