sex,dataset,modality,organ,side,organ_id,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
female,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#Emp1$alveolus%20of%20lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,36,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
female,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#Emp2$alveolus%20of%20lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,36,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
female,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#Emp3$alveolus%20of%20lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,41,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL1$alveolus%20of%20lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,36,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
male,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL2$alveolus%20of%20lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,39,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
female,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL3$alveolus%20of%20lung,sc_transcriptomics,lung,,http://purl.obolibrary.org/obo/UBERON_0002048,37,false,true,false,true,false,CxG,Emphysema Cell Atlas,https://doi.org/10.1016/j.immuni.2023.01.032,Chaoqun Wang
female,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP14$trachea,sc_transcriptomics,trachea,,http://purl.obolibrary.org/obo/UBERON_0003126,11,false,true,false,true,false,CxG,Local and systemic responses to SARS-CoV-2 infection in children and adults,https://doi.org/10.1038/s41586-021-04345-x,Masahiro Yoshida
male,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP18$trachea,sc_transcriptomics,trachea,,http://purl.obolibrary.org/obo/UBERON_0003126,13,false,true,false,true,false,CxG,Local and systemic responses to SARS-CoV-2 infection in children and adults,https://doi.org/10.1038/s41586-021-04345-x,Masahiro Yoshida
female,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP22$trachea,sc_transcriptomics,trachea,,http://purl.obolibrary.org/obo/UBERON_0003126,5,false,true,false,true,false,CxG,Local and systemic responses to SARS-CoV-2 infection in children and adults,https://doi.org/10.1038/s41586-021-04345-x,Masahiro Yoshida
male,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP23$trachea,sc_transcriptomics,trachea,,http://purl.obolibrary.org/obo/UBERON_0003126,9,false,true,false,true,false,CxG,Local and systemic responses to SARS-CoV-2 infection in children and adults,https://doi.org/10.1038/s41586-021-04345-x,Masahiro Yoshida
