sex,dataset,organ,cell_count,in_atlas,has_cell_summary,has_extraction_site,has_publication,in_high_quality_portal,portal,study_paper,doi,lead_author
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/1e313b15-4aca-4e5a-94a3-1093c4c42abd#HCM1$interventricular%20septum,Heart,,false,false,false,true,false,CxG,High-resolution single-cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy,https://doi.org/10.1111/cpr.13557,Jiansen Lu
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/1e313b15-4aca-4e5a-94a3-1093c4c42abd#HCM2$interventricular%20septum,Heart,,false,false,false,true,false,CxG,High-resolution single-cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy,https://doi.org/10.1111/cpr.13557,Jiansen Lu
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/1e313b15-4aca-4e5a-94a3-1093c4c42abd#HCM4$interventricular%20septum,Heart,,false,false,false,true,false,CxG,High-resolution single-cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy,https://doi.org/10.1111/cpr.13557,Jiansen Lu
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/1e313b15-4aca-4e5a-94a3-1093c4c42abd#HCM5$interventricular%20septum,Heart,,false,false,false,true,false,CxG,High-resolution single-cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy,https://doi.org/10.1111/cpr.13557,Jiansen Lu
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/1e313b15-4aca-4e5a-94a3-1093c4c42abd#HCM6$interventricular%20septum,Heart,,false,false,false,true,false,CxG,High-resolution single-cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy,https://doi.org/10.1111/cpr.13557,Jiansen Lu
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/1e313b15-4aca-4e5a-94a3-1093c4c42abd#HCM7$interventricular%20septum,Heart,,false,false,false,true,false,CxG,High-resolution single-cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy,https://doi.org/10.1111/cpr.13557,Jiansen Lu
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/1e313b15-4aca-4e5a-94a3-1093c4c42abd#NC1$interventricular%20septum,Heart,,false,false,false,true,false,CxG,High-resolution single-cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy,https://doi.org/10.1111/cpr.13557,Jiansen Lu
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/1e313b15-4aca-4e5a-94a3-1093c4c42abd#NC2$interventricular%20septum,Heart,,false,false,false,true,false,CxG,High-resolution single-cell transcriptomic survey of cardiomyocytes from patients with hypertrophic cardiomyopathy,https://doi.org/10.1111/cpr.13557,Jiansen Lu
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9#donor_2207$apex%20of%20heart,Heart,14,false,true,false,true,false,CxG,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,https://doi.org/10.1038/s41467-023-40505-5,Alan Selewa
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9#donor_2207$heart%20left%20ventricle,Heart,14,false,true,false,true,false,CxG,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,https://doi.org/10.1038/s41467-023-40505-5,Alan Selewa
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9#donor_2207$heart%20right%20ventricle,Heart,13,false,true,false,true,false,CxG,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,https://doi.org/10.1038/s41467-023-40505-5,Alan Selewa
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9#donor_2207$interventricular%20septum,Heart,14,false,true,false,true,false,CxG,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,https://doi.org/10.1038/s41467-023-40505-5,Alan Selewa
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9#donor_2336$apex%20of%20heart,Heart,14,false,true,false,true,false,CxG,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,https://doi.org/10.1038/s41467-023-40505-5,Alan Selewa
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9#donor_2336$heart%20left%20ventricle,Heart,14,false,true,false,true,false,CxG,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,https://doi.org/10.1038/s41467-023-40505-5,Alan Selewa
Male,https://api.cellxgene.cziscience.com/dp/v1/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9#donor_2336$heart%20right%20ventricle,Heart,15,false,true,false,true,false,CxG,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,https://doi.org/10.1038/s41467-023-40505-5,Alan Selewa
