sample,rui_location,organ,organId,sex,tool,modality,cell_id,cell_label,cell_count,percentage_of_total
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/CL_0000775,neutrophil,35615.129088,0.3221992178513918
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,celltypist,sc_bulk,http://purl.obolibrary.org/obo/CL_0000115,Endothelial cells,29598.75071999999,0.2645454545454545
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/CL_1000398,endothelial cell of hepatic sinusoid,24858.882048,0.2248907292385553
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,celltypist,sc_bulk,http://purl.obolibrary.org/obo/CL_0000182,Hepatocytes,23200.945152,0.2073636363636364
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/CL_0000182,hepatocyte,22773.746688,0.2060271451575799
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,celltypist,sc_bulk,http://purl.obolibrary.org/obo/CL_0000084,T cells,13909.37856,0.1243181818181819
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,celltypist,sc_bulk,http://purl.obolibrary.org/obo/CL_0000235,Macrophages,13243.152384,0.1183636363636364
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,celltypist,sc_bulk,http://purl.obolibrary.org/obo/CL_0000057,Fibroblasts,10308.705792,0.09213636363636361
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,celltypist,sc_bulk,http://purl.obolibrary.org/obo/CL_1000488,Cholangiocytes,8737.225728,0.07809090909090909
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/CL_0000235,macrophage,7247.116800000003,0.06556245686680472
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/CL_0002538,intrahepatic cholangiocyte,6977.574911999998,0.06312399355877615
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/CL_0000084,T cell,5858.721792000001,0.05300207039337475
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,celltypist,sc_bulk,http://purl.obolibrary.org/obo/CL_0000775,Neutrophils,5151.810048,0.04604545454545455
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,celltypist,sc_bulk,http://purl.obolibrary.org/obo/CL_0000623,Resident NK,4714.440191999999,0.04213636363636363
http://purl.org/ccf/HEA10#TissueBlock1,http://purl.org/ccf/1.5/2a823e94-6653-4c8c-b270-0c75bd1a58e8,liver,UBERON:0002107,Male,popv,sc_bulk,http://purl.obolibrary.org/obo/CL_0000814,mature NK T cell,4271.98464,0.03864734299516908
