organ,organ_id,as_label,as_volume,rui_location_one_as_count,rui_location_count,rui_locations_with_ct,rui_locations_no_ct,ct_not_in_hra,ct_in_hra,ct_from_hra_only,experimental_ct_count,ct_labels_from_experimental_data,predicted_cells_per_ct
VHFHeart,UBERON:0000948,Posteromedial head of posterior papillary muscle of left ventricle,4401.498768462402,0,1,36,0,5,1,0,6,macrophage; cardiac endothelial cell; cardiac muscle cell; hepatocyte; smooth muscle cell; fibroblast of cardiac tissue,1132.08333333333333333333
VHFHeart,UBERON:0000948,heart left ventricle,229312.7801882646,102,8,139,0,5,1,22,6,macrophage; cardiac endothelial cell; cardiac muscle cell; hepatocyte; smooth muscle cell; fibroblast of cardiac tissue,1145.94306049822064056940
VHFHeart,UBERON:0000948,heart right ventricle,78714.75572486871,49,3,86,0,5,1,22,6,macrophage; cardiac endothelial cell; cardiac muscle cell; hepatocyte; smooth muscle cell; fibroblast of cardiac tissue,1030.09302325581395348837
VHFHeart,UBERON:0000948,interventricular septum,65894.53465930313,0,2,37,0,5,1,19,6,macrophage; cardiac endothelial cell; cardiac muscle cell; hepatocyte; smooth muscle cell; fibroblast of cardiac tissue,1145.40090090090090090090
VHFHeart,UBERON:0000948,left cardiac atrium,18115.96846829785,49,1,49,0,5,1,22,6,smooth muscle cell; cardiac endothelial cell; fibroblast of cardiac tissue; cardiac muscle cell; hepatocyte; macrophage,628.80952380952380952381
VHFHeart,UBERON:0000948,right cardiac atrium,33225.9013445354,36,1,36,0,5,1,26,6,cardiac muscle cell; hepatocyte; macrophage; smooth muscle cell; cardiac endothelial cell; fibroblast of cardiac tissue,432.82857142857142857143
VHFLargeIntestine,UBERON:0000059,ascending colon,46838.66491802995,0,2,2,0,29,10,37,39,"large intestine goblet cell; Stroma; ICC; CD57+ Enterocyte; Goblet; DC; CD66+ Enterocyte; MUC1+ Enterocyte; M1 Macrophage; CD7+ Immune; NK; Cycling TA; TA; paneth cell of colon; gut endothelial cell; enterocyte of epithelium of large intestine; intestinal tuft cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; intestinal enteroendocrine cell; transit amplifying cell of colon; fibroblast; monocyte; neutrophil; Neutrophil; plasma cell; CD4+ T cell; CD8+ T; Lymphatic; Nerve; B cell; mast cell; M2 Macrophage; Endothelial; Plasma; Enterocyte; Paneth; B; Smooth muscle; Neuroendocrine",536.52173913043478260870
VHFLargeIntestine,UBERON:0000059,caecum,31765.15370754535,0,2,2,0,29,10,36,39,"fibroblast; monocyte; neutrophil; Neutrophil; plasma cell; CD4+ T cell; CD8+ T; Lymphatic; Nerve; B cell; mast cell; intestinal enteroendocrine cell; CD4-positive, alpha-beta T cell; enterocyte of epithelium of large intestine; CD8-positive, alpha-beta T cell; transit amplifying cell of colon; paneth cell of colon; gut endothelial cell; intestinal tuft cell; large intestine goblet cell; Stroma; M2 Macrophage; M1 Macrophage; Neuroendocrine; Enterocyte; Paneth; MUC1+ Enterocyte; Smooth muscle; Plasma; ICC; B; CD66+ Enterocyte; NK; Goblet; CD7+ Immune; CD57+ Enterocyte; DC; Cycling TA; Endothelial; TA",536.52173913043478260870
VHFLargeIntestine,UBERON:0000059,descending colon,140721.8643302251,3,3,3,0,29,10,37,39,"monocyte; Neutrophil; neutrophil; fibroblast; intestinal tuft cell; transit amplifying cell of colon; CD4-positive, alpha-beta T cell; paneth cell of colon; enterocyte of epithelium of large intestine; CD8-positive, alpha-beta T cell; large intestine goblet cell; gut endothelial cell; plasma cell; CD4+ T cell; CD8+ T; Lymphatic; Nerve; B cell; mast cell; M2 Macrophage; B; CD7+ Immune; M1 Macrophage; Enterocyte; Neuroendocrine; TA; MUC1+ Enterocyte; Cycling TA; Endothelial; NK; Goblet; DC; Stroma; ICC; CD57+ Enterocyte; Smooth muscle; Paneth; CD66+ Enterocyte; Plasma; intestinal enteroendocrine cell",823.85046728971962616822
VHFLargeIntestine,UBERON:0000059,sigmoid colon,30343.709589328162,3,3,3,0,29,10,37,39,"Nerve; B cell; mast cell; plasma cell; CD4+ T cell; CD8+ T; Lymphatic; fibroblast; monocyte; Neutrophil; neutrophil; Paneth; CD57+ Enterocyte; paneth cell of colon; intestinal enteroendocrine cell; intestinal tuft cell; enterocyte of epithelium of large intestine; CD8-positive, alpha-beta T cell; DC; Smooth muscle; Goblet; Neuroendocrine; Plasma; ICC; transit amplifying cell of colon; large intestine goblet cell; gut endothelial cell; CD4-positive, alpha-beta T cell; TA; M1 Macrophage; NK; Endothelial; M2 Macrophage; Cycling TA; CD66+ Enterocyte; CD7+ Immune; Stroma; Enterocyte; MUC1+ Enterocyte; B",456.25490196078431372549
VHFLargeIntestine,UBERON:0000059,transverse colon,171672.2417935184,2,2,2,0,29,10,37,39,"plasma cell; CD4+ T cell; CD8+ T; Lymphatic; Nerve; fibroblast; monocyte; neutrophil; Neutrophil; B cell; mast cell; Neuroendocrine; NK; Goblet; TA; Stroma; Plasma; Enterocyte; M2 Macrophage; B; ICC; Cycling TA; Smooth muscle; M1 Macrophage; DC; CD66+ Enterocyte; Endothelial; CD57+ Enterocyte; CD7+ Immune; Paneth; MUC1+ Enterocyte; intestinal enteroendocrine cell; CD8-positive, alpha-beta T cell; large intestine goblet cell; transit amplifying cell of colon; paneth cell of colon; CD4-positive, alpha-beta T cell; intestinal tuft cell; gut endothelial cell; enterocyte of epithelium of large intestine",838.41935483870967741935
