cell_label,cell_id,level,level_cell_id,level_cell_label
angiogenic pericyte,http://purl.obolibrary.org/obo/CL_4047012,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
fetal vein endothelial cell,http://purl.obolibrary.org/obo/CL_4047011,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
intestinal tuft cell,http://purl.obolibrary.org/obo/CL_0019032,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
intestine goblet cell,http://purl.obolibrary.org/obo/CL_0019031,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
nasal serous secreting cell,http://purl.obolibrary.org/obo/CL_4042016,L2,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell
post-arteriole capillary cell,http://purl.obolibrary.org/obo/CL_4047029,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
pre-venule capillary cell,http://purl.obolibrary.org/obo/CL_4047030,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
tracheobronchial goblet cell,http://purl.obolibrary.org/obo/CL_0019003,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
transit amplifying cell of gut,http://purl.obolibrary.org/obo/CL_4047017,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
B cell,http://purl.obolibrary.org/obo/CL_0000236,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
B cell,http://purl.obolibrary.org/obo/CL_0000236,L2,http://purl.obolibrary.org/obo/CL_0000236,B cell
BEST4+ enterocyte,http://purl.obolibrary.org/obo/CL_4030026,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
CCL3-positive alveolar macrophage,http://purl.obolibrary.org/obo/CL_4033041,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
CCL3-positive alveolar macrophage,http://purl.obolibrary.org/obo/CL_4033041,L2,http://purl.obolibrary.org/obo/CL_0000235,macrophage
CD11b-positive dendritic cell,http://purl.obolibrary.org/obo/CL_0002465,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
CD11b-positive dendritic cell,http://purl.obolibrary.org/obo/CL_0002465,L2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
"CD14-low, CD16-positive monocyte",http://purl.obolibrary.org/obo/CL_0002396,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"CD14-low, CD16-positive monocyte",http://purl.obolibrary.org/obo/CL_0002396,L2,http://purl.obolibrary.org/obo/CL_0000576,monocyte
CD14-positive monocyte,http://purl.obolibrary.org/obo/CL_0001054,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
CD14-positive monocyte,http://purl.obolibrary.org/obo/CL_0001054,L2,http://purl.obolibrary.org/obo/CL_0000576,monocyte
