sex,organ,as_label,cell_label,cell_id,mean_cell_count,cell_count
Female,VHFLeftKidney,renal papilla,Afferent / Efferent Arteriole Endothelial,http://purl.obolibrary.org/obo/CL_1000412,1,2
Female,VHFLeftKidney,renal papilla,Ascending Thin Limb,http://purl.obolibrary.org/obo/CL_1001107,442.75,1771
Female,VHFLeftKidney,renal papilla,Ascending Vasa Recta Endothelial,http://purl.obolibrary.org/obo/CL_1001131,201.25,805
Female,VHFLeftKidney,renal papilla,Connecting Tubule,http://purl.obolibrary.org/obo/CL_1000768,1008.75,4035
Female,VHFLeftKidney,renal papilla,Cortical Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000714,140.75,563
Female,VHFLeftKidney,renal papilla,Cortical Thick Ascending Limb,http://purl.obolibrary.org/obo/CL_1001109,1,1
Female,VHFLeftKidney,renal papilla,Descending Thin Limb Type 1,http://purl.obolibrary.org/obo/CL_4030012,312.75,1251
Female,VHFLeftKidney,renal papilla,Descending Thin Limb Type 2,http://purl.obolibrary.org/obo/CL_4030013,9.66666666666666666667,29
Female,VHFLeftKidney,renal papilla,Descending Thin Limb Type 3,http://purl.obolibrary.org/obo/CL_4030014,318.5,1274
Female,VHFLeftKidney,renal papilla,"Descending Vasa Recta Endothelial ",https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,38,152
Female,VHFLeftKidney,renal papilla,Distal Convoluted Tubule Type 1,http://purl.obolibrary.org/obo/CL_4030016,69,138
Female,VHFLeftKidney,renal papilla,Fibroblast,http://purl.obolibrary.org/obo/CL_1000692,1.33333333333333333333,4
Female,VHFLeftKidney,renal papilla,Inner Medullary Collecting Duct,http://purl.obolibrary.org/obo/CL_1000718,2025.75,8103
Female,VHFLeftKidney,renal papilla,Lymphatic Endothelial,http://purl.obolibrary.org/obo/CL_0002138,3,6
Female,VHFLeftKidney,renal papilla,M2 Macrophage,http://purl.obolibrary.org/obo/CL_0000890,47.25,189
Female,VHFLeftKidney,renal papilla,Macula Densa,http://purl.obolibrary.org/obo/CL_1000850,27,108
Female,VHFLeftKidney,renal papilla,Mast,http://purl.obolibrary.org/obo/CL_0000097,20,40
Female,VHFLeftKidney,renal papilla,Medullary Fibroblast,http://purl.obolibrary.org/obo/CL_4030022,348,1392
Female,VHFLeftKidney,renal papilla,Medullary Thick Ascending Limb,http://purl.obolibrary.org/obo/CL_1001108,15,30
Female,VHFLeftKidney,renal papilla,Monocyte-derived,http://purl.obolibrary.org/obo/CL_0011031,11,44
Female,VHFLeftKidney,renal papilla,Natural Killer T,http://purl.obolibrary.org/obo/CL_0000814,2.5,5
Female,VHFLeftKidney,renal papilla,Outer Medullary Collecting Duct Intercalated Type A,http://purl.obolibrary.org/obo/CL_1000717,2,2
Female,VHFLeftKidney,renal papilla,Outer Medullary Collecting Duct Principal,http://purl.obolibrary.org/obo/CL_1000716,6.75,27
Female,VHFLeftKidney,renal papilla,Papillary Tip Epithelial,http://purl.obolibrary.org/obo/CL_1000597,359,1436
Female,VHFLeftKidney,renal papilla,Parietal Epithelial,http://purl.obolibrary.org/obo/CL_1000452,6,12
Female,VHFLeftKidney,renal papilla,"Peritubular Capilary Endothelial ",https://purl.org/ccf/ASCTB-TEMP_peritubular-capilary-endothelial,16,32
Female,VHFLeftKidney,renal papilla,Plasmacytoid Dendritic,http://purl.obolibrary.org/obo/CL_0001058,1,2
Female,VHFLeftKidney,renal papilla,Proximal Tubule Epithelial Segment 1,http://purl.obolibrary.org/obo/CL_4030009,1,2
Female,VHFLeftKidney,renal papilla,T,http://purl.obolibrary.org/obo/CL_0000084,29.5,118
Female,VHFLeftKidney,renal papilla,Vascular Smooth Muscle / Pericyte,http://purl.obolibrary.org/obo/CL_1001318,20.25,81
Female,VHFLeftKidney,renal pyramid,Afferent / Efferent Arteriole Endothelial,http://purl.obolibrary.org/obo/CL_1000412,69.42424242424242424242,2291
Female,VHFLeftKidney,renal pyramid,Ascending Thin Limb,http://purl.obolibrary.org/obo/CL_1001107,1128.13888888888888888889,40613
Female,VHFLeftKidney,renal pyramid,Ascending Vasa Recta Endothelial,http://purl.obolibrary.org/obo/CL_1001131,283.5,9639
Female,VHFLeftKidney,renal pyramid,B,http://purl.obolibrary.org/obo/CL_0000236,157.03846153846153846154,4083
