tool,cell_id,cell_label,count,avg_percentage_of_total
azimuth,http://purl.obolibrary.org/obo/CL_4028002,alveolar capillary type 1 endothelial cell,1205786,0.16124544655944767
azimuth,http://purl.obolibrary.org/obo/CL_0002062,pulmonary alveolar type 1 cell,1131256,0.26950768450868245
azimuth,http://purl.obolibrary.org/obo/CL_0002145,multiciliated columnar cell of tracheobronchial tree,438256,0.09210714149519897
azimuth,http://purl.obolibrary.org/obo/CL_0002063,pulmonary alveolar type 2 cell,360456,0.0990196325705714
azimuth,http://purl.obolibrary.org/obo/CL_4028004,alveolar type 1 fibroblast cell,289000,0.07195577826598669
azimuth,http://purl.obolibrary.org/obo/CL_0000625,"CD8-positive, alpha-beta T cell",227266,0.03958157103446864
azimuth,http://purl.obolibrary.org/obo/CL_0000624,"CD4-positive, alpha-beta T cell",217220,0.030953595488776412
azimuth,http://purl.obolibrary.org/obo/CL_4033008,vein endothelial cell of respiratory system,169914,0.018429390307843053
azimuth,http://purl.obolibrary.org/obo/CL_0017000,pulmonary ionocyte,136652,0.026400769804586034
azimuth,http://purl.obolibrary.org/obo/CL_1001568,pulmonary artery endothelial cell,83568,0.010231421183043871
azimuth,http://purl.obolibrary.org/obo/CL_0009089,lung pericyte,70046,0.015176142750355268
azimuth,https://purl.org/ccf/ASCTB-TEMP_monocyte-derived-m,Monocyte-derived M��,68538,0.04466023586113223
azimuth,http://purl.obolibrary.org/obo/CL_4052030,Adventitial fibroblasts,55154,0.013398928834292943
azimuth,http://purl.obolibrary.org/obo/CL_4028003,alveolar capillary type 2 endothelial cell,46548,0.016305879716182404
azimuth,http://purl.obolibrary.org/obo/CL_0000583,alveolar macrophage,37670,0.03203529470246944
azimuth,http://purl.obolibrary.org/obo/CL_0000860,classical monocyte,33884,0.017461342881188044
azimuth,http://purl.obolibrary.org/obo/CL_0009086,endothelial cell of respiratory system lymphatic vessel,33276,0.006671426464527932
azimuth,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell,32164,0.005140164618330367
azimuth,http://purl.obolibrary.org/obo/CL_0002633,respiratory basal cell,28640,0.004083305847515222
azimuth,https://purl.org/ccf/ASCTB-TEMP_non-classical-monocytes,Non-classical monocytes,27144,0.017284319763035978
azimuth,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast cell,24718,0.009826307358324515
azimuth,http://purl.obolibrary.org/obo/CL_0002399,CD1c-positive myeloid dendritic cell,21800,0.006132469175108525
azimuth,http://purl.obolibrary.org/obo/CL_0000236,B cell,20244,0.005399556405175631
azimuth,http://purl.obolibrary.org/obo/CL_0000097,mast cell,10342,0.0036586273847963964
azimuth,https://purl.org/ccf/ASCTB-TEMP_transitional-club-at2,Transitional Club-AT2,9556,0.005983919841806113
azimuth,http://purl.obolibrary.org/obo/CL_0000623,natural killer cell,5570,0.0020957959150507046
azimuth,http://purl.obolibrary.org/obo/CL_0002480,Goblet (nasal),4270,0.001271281573267402
azimuth,https://purl.org/ccf/ASCTB-TEMP_interstitial-m-perivascular,Interstitial M�� perivascular,3978,0.0057456778526562115
azimuth,http://purl.obolibrary.org/obo/CL_0000158,club cell,3058,0.0017510859900979974
azimuth,http://purl.obolibrary.org/obo/CL_0000786,plasma cell,2702,0.0023902233975145303
azimuth,http://purl.obolibrary.org/obo/CL_0005012,multiciliated epithelial cell,1744,0.0027244824192889745
azimuth,http://purl.obolibrary.org/obo/CL_0002241,pulmonary interstitial fibroblast,1678,0.002346156556937704
azimuth,http://purl.obolibrary.org/obo/CL_4033080,AT2 proliferating,1176,0.0011621547869921066
azimuth,https://purl.org/ccf/ASCTB-TEMP_alveolar-m-proliferating,Alveolar M�� proliferating,966,0.007367109800729966
azimuth,http://purl.obolibrary.org/obo/CL_0001058,"plasmacytoid dendritic cell, human",922,2.650597481394014E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033048,respiratory tract suprabasal cell,854,2.264635850783631E-4
azimuth,http://purl.obolibrary.org/obo/CL_0002075,brush cell of tracheobronchial tree,796,2.793149565723318E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033005,serous secreting cell of bronchus submucosal gland,502,0.003455026195498928
azimuth,http://purl.obolibrary.org/obo/CL_4033044,deuterosomal cell,396,4.648810380522034E-4
azimuth,http://purl.obolibrary.org/obo/CL_0019003,tracheobronchial goblet cell,230,0.0021318959641074718
azimuth,http://purl.obolibrary.org/obo/CL_4033069,T cells proliferating,228,5.142615469737468E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033023,airway submucosal gland collecting duct epithelial cell,114,3.3977179875780105E-4
azimuth,http://purl.obolibrary.org/obo/CL_4033022,mucus secreting cell of bronchus submucosal gland,94,1.0968563862741624E-4
azimuth,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell,80,1.4713983563003244E-4
azimuth,http://purl.obolibrary.org/obo/CL_1000491,mesothelial cell of pleura,24,3.012601168103529E-4
azimuth,https://purl.org/ccf/ASCTB-TEMP_alveolar-m-ccl3-,Alveolar M�� CCL3+,22,0.0010700125083407132
azimuth,http://purl.obolibrary.org/obo/CL_4033045,lung migratory dendritic cell,6,3.127280308558324E-4
celltypist,http://purl.obolibrary.org/obo/CL_0002063,pulmonary alveolar type 2 cell,731106,0.14666364652485256
celltypist,http://purl.obolibrary.org/obo/CL_0002633,respiratory basal cell,648110,0.08005989442890986
celltypist,http://purl.obolibrary.org/obo/CL_0002062,pulmonary alveolar type 1 cell,533292,0.1395243345844376
celltypist,http://purl.obolibrary.org/obo/CL_0000492,CD4-positive helper T cell,454412,0.06428634598064108
celltypist,http://purl.obolibrary.org/obo/CL_0002144,capillary endothelial cell,382748,0.06541219532147545
celltypist,http://purl.obolibrary.org/obo/CL_0005012,multiciliated epithelial cell,370626,0.06604247772863339
celltypist,http://purl.obolibrary.org/obo/CL_0000158,club cell,251282,0.03616223175961972
celltypist,http://purl.obolibrary.org/obo/CL_0000875,non-classical monocyte,234336,0.0676739430492491
celltypist,http://purl.obolibrary.org/obo/CL_4028004,alveolar type 1 fibroblast cell,147656,0.032468434699181634
celltypist,http://purl.obolibrary.org/obo/CL_1001603,lung macrophage,116772,0.04772114621621133
celltypist,http://purl.obolibrary.org/obo/CL_1000312,bronchial goblet cell,101350,0.02046016490120963
celltypist,http://purl.obolibrary.org/obo/CL_0019001,tracheobronchial serous cell,88584,0.01891415017374695
celltypist,http://purl.obolibrary.org/obo/CL_0002138,endothelial cell of lymphatic vessel,74516,0.020504705431658752
celltypist,http://purl.obolibrary.org/obo/CL_4028003,alveolar capillary type 2 endothelial cell,67972,0.01673033657450179
celltypist,http://purl.obolibrary.org/obo/CL_0000913,"effector memory CD8-positive, alpha-beta T cell",58690,0.011200372333485637
celltypist,http://purl.obolibrary.org/obo/CL_0000583,alveolar macrophage,49812,0.03422229128451504
celltypist,http://purl.obolibrary.org/obo/CL_0000669,pericyte,47442,0.010274646081123702
celltypist,http://purl.obolibrary.org/obo/CL_0000165,neuroendocrine cell,45518,0.01097216003419109
celltypist,http://purl.obolibrary.org/obo/CL_1000413,endothelial cell of artery,43768,0.010141614525640913
celltypist,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell,42270,0.010862785492630997
celltypist,http://purl.obolibrary.org/obo/CL_0002241,pulmonary interstitial fibroblast,41534,0.015248761225479954
celltypist,http://purl.obolibrary.org/obo/CL_1000414,endothelial cell of venule,34444,0.007877817923279629
celltypist,http://purl.obolibrary.org/obo/CL_0000097,mast cell,33928,0.008145931309714284
celltypist,http://purl.obolibrary.org/obo/CL_0002399,CD1c-positive myeloid dendritic cell,29834,0.007124548968843126
celltypist,http://purl.obolibrary.org/obo/CL_0000786,plasma cell,27892,0.0062700811870254605
celltypist,http://purl.obolibrary.org/obo/CL_0000623,natural killer cell,21758,0.00845365957356828
celltypist,http://purl.obolibrary.org/obo/CL_4033080,AT2 proliferating,16284,0.005106241332898211
celltypist,http://purl.obolibrary.org/obo/CL_4028006,alveolar adventitial fibroblast,12292,0.0041832443076847935
celltypist,http://purl.obolibrary.org/obo/CL_4033022,mucus secreting cell of bronchus submucosal gland,10778,0.0019195532054759742
celltypist,http://purl.obolibrary.org/obo/CL_4033043,lung interstitial macrophage,10018,0.004784217090941742
celltypist,http://purl.obolibrary.org/obo/CL_0000236,B cell,8248,0.003349030834352729
celltypist,http://purl.obolibrary.org/obo/CL_0000186,myofibroblast cell,7832,0.0026414607527353927
celltypist,http://purl.obolibrary.org/obo/CL_4033005,serous secreting cell of bronchus submucosal gland,6616,0.0015727946089979603
celltypist,http://purl.obolibrary.org/obo/CL_0000313,serous secreting cell,6078,0.0016733485827094944
celltypist,http://purl.obolibrary.org/obo/CL_0000576,monocyte,5054,0.005231124562368615
celltypist,http://purl.obolibrary.org/obo/CL_0002394,CD141-positive myeloid dendritic cell,4810,0.0011318207161484667
celltypist,http://purl.obolibrary.org/obo/CL_0002480,Goblet (nasal),4794,0.001742586972815144
celltypist,http://purl.obolibrary.org/obo/CL_0000784,plasmacytoid dendritic cell,4272,0.0015254569711752822
celltypist,http://purl.obolibrary.org/obo/CL_4033044,deuterosomal cell,3912,0.0010316839062619746
celltypist,http://purl.obolibrary.org/obo/CL_4033041,CCL3-positive alveolar macrophage,3876,0.0010955788174703603
celltypist,http://purl.obolibrary.org/obo/CL_4033077,cycling alveolar macrophage,3866,0.0016678291686107424
celltypist,http://purl.obolibrary.org/obo/CL_1000491,mesothelial cell of pleura,3768,0.0010470679163338168
celltypist,http://purl.obolibrary.org/obo/CL_0000322,pulmonary alveolar epithelial cell,3542,0.0017452461918488439
celltypist,http://purl.obolibrary.org/obo/CL_4033079,Lymphatic EC proliferating,2228,5.29179442221575E-4
celltypist,http://purl.obolibrary.org/obo/CL_0002075,brush cell of tracheobronchial tree,1830,7.773658245639868E-4
celltypist,http://purl.obolibrary.org/obo/CL_4033042,metallothionein-positive alveolar macrophage,1698,6.487245829385706E-4
celltypist,http://purl.obolibrary.org/obo/CL_0005006,ionocyte,1544,5.11748467419175E-4
celltypist,http://purl.obolibrary.org/obo/CL_4033069,T cells proliferating,1236,3.705355657250328E-4
celltypist,http://purl.obolibrary.org/obo/CL_0001056,"dendritic cell, human",1162,5.444800554746065E-4
celltypist,http://purl.obolibrary.org/obo/CL_4033023,airway submucosal gland collecting duct epithelial cell,1072,3.9818575254725846E-4
celltypist,http://purl.obolibrary.org/obo/CL_0000037,hematopoietic stem cell,912,3.055887192993127E-4
celltypist,http://purl.obolibrary.org/obo/CL_0019003,tracheobronchial goblet cell,682,2.167795508074876E-4
celltypist,http://purl.obolibrary.org/obo/CL_4023054,mesothelial fibroblast,462,1.8787241894982886E-4
popv,http://purl.obolibrary.org/obo/CL_0002063,pulmonary alveolar type 2 cell,660748,0.19730055386916942
popv,http://purl.obolibrary.org/obo/CL_0000624,"CD4-positive, alpha-beta T cell",397938,0.1322561773476156
popv,http://purl.obolibrary.org/obo/CL_0002144,capillary endothelial cell,353516,0.08982791698999107
popv,http://purl.obolibrary.org/obo/CL_0000057,fibroblast,326158,0.10603866809651026
popv,http://purl.obolibrary.org/obo/CL_0002062,pulmonary alveolar type 1 cell,325656,0.12955778795275413
popv,http://purl.obolibrary.org/obo/CL_0000235,macrophage,240100,0.12418868947576303
popv,http://purl.obolibrary.org/obo/CL_0000158,club cell,80076,0.02960592894296321
popv,http://purl.obolibrary.org/obo/CL_0002543,vein endothelial cell,73466,0.02299346783416969
popv,http://purl.obolibrary.org/obo/CL_1000271,lung multiciliated epithelial cell,66770,0.028194878523116976
popv,http://purl.obolibrary.org/obo/CL_0000646,basal cell,66086,0.03348118325339069
popv,http://purl.obolibrary.org/obo/CL_0000775,neutrophil,37000,0.01406755115506649
popv,http://purl.obolibrary.org/obo/CL_0000860,classical monocyte,34038,0.016670060524136443
popv,http://purl.obolibrary.org/obo/CL_0000767,basophil,31056,0.01526486726278051
popv,http://purl.obolibrary.org/obo/CL_0000669,pericyte,24606,0.007730450348002764
popv,http://purl.obolibrary.org/obo/CL_0000625,"CD8-positive, alpha-beta T cell",16482,0.009832745386319584
popv,http://purl.obolibrary.org/obo/CL_1000413,endothelial cell of artery,15092,0.005338895737779997
popv,http://purl.obolibrary.org/obo/CL_0000814,mature NK T cell,13258,0.007498804948676815
popv,http://purl.obolibrary.org/obo/CL_0000875,non-classical monocyte,13218,0.007914882726461285
popv,http://purl.obolibrary.org/obo/CL_0002370,respiratory tract goblet cell,9068,0.0034618695757847357
popv,http://purl.obolibrary.org/obo/CL_0002138,endothelial cell of lymphatic vessel,8776,0.0035721882560934204
popv,http://purl.obolibrary.org/obo/CL_0001050,"effector CD8-positive, alpha-beta T cell",6730,0.0021205662489438954
popv,http://purl.obolibrary.org/obo/CL_0000786,plasma cell,5748,0.0027647034953963688
popv,http://purl.obolibrary.org/obo/CL_0002598,bronchial smooth muscle cell,5158,0.002191572179537721
popv,http://purl.obolibrary.org/obo/CL_0000236,B cell,3754,0.003031206534976388
popv,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell,3382,0.0034355309878882395
popv,http://purl.obolibrary.org/obo/CL_0000071,blood vessel endothelial cell,2946,0.002324721657940769
popv,http://purl.obolibrary.org/obo/CL_0000359,vascular associated smooth muscle cell,1726,8.426991404448444E-4
popv,http://purl.obolibrary.org/obo/CL_0001044,"effector CD4-positive, alpha-beta T cell",1022,5.681985899878437E-4
popv,http://purl.obolibrary.org/obo/CL_2000016,lung microvascular endothelial cell,978,6.366944827668041E-4
popv,http://purl.obolibrary.org/obo/CL_4028006,alveolar adventitial fibroblast,920,6.649489440218966E-4
popv,http://purl.obolibrary.org/obo/CL_1000331,serous cell of epithelium of bronchus,530,0.00359950429707081
popv,http://purl.obolibrary.org/obo/CL_0002393,intermediate monocyte,374,3.3816937847363945E-4
popv,http://purl.obolibrary.org/obo/CL_0017000,pulmonary ionocyte,360,0.0011546808356683953
popv,http://purl.obolibrary.org/obo/CL_0000322,pulmonary alveolar epithelial cell,340,2.088791036010184E-4
popv,http://purl.obolibrary.org/obo/CL_0000077,mesothelial cell,54,5.030550529495181E-4
popv,http://purl.obolibrary.org/obo/CL_0000192,smooth muscle cell,52,1.7218618525131806E-4
popv,http://purl.obolibrary.org/obo/CL_0000784,plasmacytoid dendritic cell,42,4.3422266450263033E-4
popv,http://purl.obolibrary.org/obo/CL_2000008,microvascular endothelial cell,6,1.2461621707835185E-4
popv,http://purl.obolibrary.org/obo/CL_0002328,bronchial epithelial cell,2,2.877697841726619E-4
