sex,organ,as_label,cell_label,dataset_count,cell_id,mean_cell_count,cell_count
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Adip1,4,http://purl.obolibrary.org/obo/CL_0000136,33,792
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Adip2,2,http://purl.obolibrary.org/obo/CL_0000136,20,240
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Adipocyte,6,http://purl.obolibrary.org/obo/CL_0000136,20.16666666666666666667,726
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Arterial Endothelial,6,http://purl.obolibrary.org/obo/CL_1000413,84.33333333333333333333,3036
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Atrial Cardiomyocyte,3,http://purl.obolibrary.org/obo/CL_0002129,4,72
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,B,6,http://purl.obolibrary.org/obo/CL_0000236,21.3,1278
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,B_plasma,4,http://purl.obolibrary.org/obo/CL_0000786,5,120
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD14+Mo,4,http://purl.obolibrary.org/obo/CL_0002057,169.25,4062
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD16+Mo,6,http://purl.obolibrary.org/obo/CL_0002396,58.83333333333333333333,2118
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Tfh,2,http://purl.obolibrary.org/obo/CL_0000492,5,60
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Th1,2,http://purl.obolibrary.org/obo/CL_0000545,6,72
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Th17,2,http://purl.obolibrary.org/obo/CL_0000899,1,12
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_Th2,3,http://purl.obolibrary.org/obo/CL_0000546,2,36
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_act,5,http://purl.obolibrary.org/obo/CL_0001043,14.8,444
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_naive,5,http://purl.obolibrary.org/obo/CL_0000895,34,1020
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD4+T_reg,3,http://purl.obolibrary.org/obo/CL_0000792,1.33333333333333333333,24
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD8+T_cytox,4,http://purl.obolibrary.org/obo/CL_0000794,3.25,78
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD8+T_em,5,http://purl.obolibrary.org/obo/CL_0000913,4.8,144
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD8+T_te,3,http://purl.obolibrary.org/obo/CL_0001050,13,234
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,CD8+T_trans,6,http://purl.obolibrary.org/obo/CL_0000625,8,288
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Capillary Endothelial,6,http://purl.obolibrary.org/obo/CL_0002144,1359.16666666666666666667,48930
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,DC,5,http://purl.obolibrary.org/obo/CL_0000451,15.4,462
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,EC1_cap,3,http://purl.obolibrary.org/obo/CL_0002144,219.33333333333333333333,3948
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,EC2_cap,1,http://purl.obolibrary.org/obo/CL_0002144,336,2016
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,EC3_cap,2,http://purl.obolibrary.org/obo/CL_0002144,2330,27960
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,EC4_immune,6,http://purl.obolibrary.org/obo/CL_0000115,138.83333333333333333333,4998
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,EC5_art,6,http://purl.obolibrary.org/obo/CL_1000413,322.16666666666666666667,11598
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,EC6_ven,6,http://purl.obolibrary.org/obo/CL_0002543,82.83333333333333333333,2982
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,EC7_endocardial,5,http://purl.obolibrary.org/obo/CL_0002350,11.4,342
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,EC8_ln,5,http://purl.obolibrary.org/obo/CL_0002138,10.2,306
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Endocardial,5,http://purl.obolibrary.org/obo/CL_0002350,10.6,318
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Endothelial,2,http://purl.obolibrary.org/obo/CL_0000115,1.5,18
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,FB1,3,http://purl.obolibrary.org/obo/CL_0000057,1244.33333333333333333333,22398
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,FB3,1,http://purl.obolibrary.org/obo/CL_0000057,1273,7638
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,FB4_activated,1,http://purl.obolibrary.org/obo/CL_0000057,452,2712
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,FB5,1,http://purl.obolibrary.org/obo/CL_0000057,566,3396
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Fibroblast,6,http://purl.obolibrary.org/obo/CL_0000057,999.33333333333333333333,35976
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,ILC,4,http://purl.obolibrary.org/obo/CL_0001065,2.5,60
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,LYVE1+IGF1+MP,4,http://purl.obolibrary.org/obo/CL_0000235,114.25,2742
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,LYVE1+MP_cycling,6,http://purl.obolibrary.org/obo/CL_4033076,9.66666666666666666667,348
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,LYVE1+TIMD4+MP,2,http://purl.obolibrary.org/obo/CL_0000235,381.5,4578
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Lymphatic Endothelial,5,http://purl.obolibrary.org/obo/CL_0002138,9.4,282
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,MAIT-like,3,http://purl.obolibrary.org/obo/CL_0000791,13.33333333333333333333,240
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Macrophage,6,http://purl.obolibrary.org/obo/CL_0000235,126.16666666666666666667,4542
Female,VHFHeart,Posteromedial head of posterior papillary muscle of left ventricle,Mast,6,http://purl.obolibrary.org/obo/CL_0000097,31.91666666666666666667,2298
