tool,organ,cell_label,dataset_count
azimuth,UBERON:0002048,Alveolar M�� CCL3+,2
azimuth,UBERON:0002048,Alveolar M�� proliferating,12
azimuth,UBERON:0002048,Interstitial M�� perivascular,55
azimuth,UBERON:0002048,Monocyte-derived M��,80
azimuth,UBERON:0002048,Non-classical monocytes,78
azimuth,UBERON:0002048,Transitional Club-AT2,64
azimuth,UBERON:0002113,"Descending Vasa Recta Endothelial ",208
azimuth,UBERON:0002113,"Peritubular Capilary Endothelial ",203
celltypist,UBERON:0000059,Activated CD4 T,18
celltypist,UBERON:0000059,Activated CD8 T,29
celltypist,UBERON:0000059,Activated T,46
celltypist,UBERON:0000059,Adult Glia,46
celltypist,UBERON:0000059,BEST2+ Goblet cell,45
celltypist,UBERON:0000059,BEST4+ epithelial,47
celltypist,UBERON:0000059,Branch A1 (iMN),38
celltypist,UBERON:0000059,Branch A2 (IPAN/IN),43
celltypist,UBERON:0000059,Branch A3 (IPAN/IN),33
celltypist,UBERON:0000059,Branch A4 (IN),41
celltypist,UBERON:0000059,Branch B1 (eMN),39
celltypist,UBERON:0000059,Branch B2 (eMN),31
celltypist,UBERON:0000059,Branch B3 (IPAN),35
celltypist,UBERON:0000059,CD8 Tmem,40
celltypist,UBERON:0000059,CLC+ Mast cell,34
celltypist,UBERON:0000059,CLDN10+ cells,34
celltypist,UBERON:0000059,CLP,38
celltypist,UBERON:0000059,CX3CR1+ CD8 Tmem,28
celltypist,UBERON:0000059,Colonocyte,45
celltypist,UBERON:0000059,Contractile pericyte (PLN+),44
celltypist,UBERON:0000059,Cycling B cell,45
celltypist,UBERON:0000059,Cycling plasma cell,47
celltypist,UBERON:0000059,D cells (SST+),32
celltypist,UBERON:0000059,DZ GC cell,34
celltypist,UBERON:0000059,Differentiating glia,20
celltypist,UBERON:0000059,Distal progenitor,33
celltypist,UBERON:0000059,EC cells (NPW+),33
celltypist,UBERON:0000059,EC cells (TAC1+),37
celltypist,UBERON:0000059,EECs,45
celltypist,UBERON:0000059,ENCC/glia Progenitor,29
celltypist,UBERON:0000059,Enterocyte,34
celltypist,UBERON:0000059,FCRL4+ Memory B,26
celltypist,UBERON:0000059,FDC,26
celltypist,UBERON:0000059,Fetal arterial EC,34
celltypist,UBERON:0000059,Fetal venous EC,40
celltypist,UBERON:0000059,GC B cell,25
celltypist,UBERON:0000059,Germ,32
celltypist,UBERON:0000059,Glia 1 (DHH+),25
celltypist,UBERON:0000059,Glia 2 (ELN+),36
celltypist,UBERON:0000059,Glia 3 (BCAN+),42
celltypist,UBERON:0000059,Goblet cell,47
celltypist,UBERON:0000059,I cells (CCK+),34
celltypist,UBERON:0000059,ICC,26
celltypist,UBERON:0000059,ILC2,27
celltypist,UBERON:0000059,ILC3,36
celltypist,UBERON:0000059,ILCP,37
celltypist,UBERON:0000059,IgA plasma cell,30
celltypist,UBERON:0000059,IgG plasma cell,41
celltypist,UBERON:0000059,IgM plasma cell,7
celltypist,UBERON:0000059,Immature B,18
celltypist,UBERON:0000059,Immature pericyte,23
celltypist,UBERON:0000059,K cells (GIP+),30
celltypist,UBERON:0000059,L cells (PYY+),42
celltypist,UBERON:0000059,LEC1 (ACKR4+),44
celltypist,UBERON:0000059,LEC2 (MADCAM1+),19
celltypist,UBERON:0000059,LEC3 (ADGRG3+),36
celltypist,UBERON:0000059,LEC4 (STAB2+),41
celltypist,UBERON:0000059,LEC5 (CLDN11+),27
celltypist,UBERON:0000059,LEC6 (ADAMTS4+),45
celltypist,UBERON:0000059,LTi-like NCR+ ILC3,17
celltypist,UBERON:0000059,LTi-like NCR- ILC3,25
celltypist,UBERON:0000059,LYVE1+ Macrophage,41
celltypist,UBERON:0000059,LZ GC cell,25
celltypist,UBERON:0000059,Lymphoid DC,40
celltypist,UBERON:0000059,M/X cells (MLN/GHRL+),18
celltypist,UBERON:0000059,MAIT cell,40
celltypist,UBERON:0000059,MMP9+ Inflammatory macrophage,37
celltypist,UBERON:0000059,MPO+ mono-neutrophil,29
celltypist,UBERON:0000059,Macrophages,42
celltypist,UBERON:0000059,Mast cell,38
celltypist,UBERON:0000059,Mature arterial EC,45
celltypist,UBERON:0000059,Mature venous EC,43
celltypist,UBERON:0000059,Megakaryocyte,37
celltypist,UBERON:0000059,Memory B,40
celltypist,UBERON:0000059,Mesoderm 1 (HAND1+),42
celltypist,UBERON:0000059,Mesoderm 2 (ZEB2+),11
celltypist,UBERON:0000059,Mesothelium,21
celltypist,UBERON:0000059,Mesothelium (PRG4+),20
celltypist,UBERON:0000059,Mesothelium (RGS5+),44
celltypist,UBERON:0000059,Microfold cell,44
celltypist,UBERON:0000059,Monocytes,43
celltypist,UBERON:0000059,N cells (NTS+),20
celltypist,UBERON:0000059,NK T cell,40
celltypist,UBERON:0000059,NK cell,41
celltypist,UBERON:0000059,Naive B,41
celltypist,UBERON:0000059,Neuroblast,38
celltypist,UBERON:0000059,Paneth,36
celltypist,UBERON:0000059,Pericyte,42
celltypist,UBERON:0000059,Pre-B,36
celltypist,UBERON:0000059,Pro-B,35
celltypist,UBERON:0000059,Progenitor (NEUROG3+),41
celltypist,UBERON:0000059,Proximal progenitor,42
celltypist,UBERON:0000059,RBC,34
celltypist,UBERON:0000059,SELL+ CD4 T,37
celltypist,UBERON:0000059,SELL+ CD8 T,45
celltypist,UBERON:0000059,SMC (PART1/CAPN3+),41
celltypist,UBERON:0000059,SMC (PLPP2+),36
celltypist,UBERON:0000059,STAT1+ Naive B,41
celltypist,UBERON:0000059,Stem cells,46
celltypist,UBERON:0000059,Stromal 1 (ADAMDEC1+),7
celltypist,UBERON:0000059,Stromal 1 (CCL11+),37
celltypist,UBERON:0000059,Stromal 2 (CH25H+),39
celltypist,UBERON:0000059,Stromal 2 (NPY+),37
celltypist,UBERON:0000059,Stromal 3 (C7+),35
celltypist,UBERON:0000059,Stromal 3 (KCNN3+),41
celltypist,UBERON:0000059,Stromal 4 (MMP1+),31
celltypist,UBERON:0000059,T reticular,36
celltypist,UBERON:0000059,TA,43
celltypist,UBERON:0000059,TRDV2/TRGV9 gdT,30
celltypist,UBERON:0000059,TRGV2 gdT,45
celltypist,UBERON:0000059,TRGV4 gdT,42
celltypist,UBERON:0000059,TRGV5/7 gdT,19
celltypist,UBERON:0000059,Tfh,45
celltypist,UBERON:0000059,Th1,37
celltypist,UBERON:0000059,Th17,30
celltypist,UBERON:0000059,Transitional Stromal 3 (C3+),47
celltypist,UBERON:0000059,Treg,34
celltypist,UBERON:0000059,Tuft,43
celltypist,UBERON:0000059,angiogenic pericyte,38
celltypist,UBERON:0000059,arterial capillary,45
celltypist,UBERON:0000059,cDC1,39
celltypist,UBERON:0000059,cDC2,37
celltypist,UBERON:0000059,cycling EC,39
celltypist,UBERON:0000059,cycling ENCC/glia,35
celltypist,UBERON:0000059,cycling neuroblast,23
celltypist,UBERON:0000059,cycling stromal,8
celltypist,UBERON:0000059,gdT,12
celltypist,UBERON:0000059,mLN Stroma (FMO2+),38
celltypist,UBERON:0000059,mLTo,41
celltypist,UBERON:0000059,myofibroblast,44
celltypist,UBERON:0000059,myofibroblast (RSPO2+),41
celltypist,UBERON:0000059,pDC,25
celltypist,UBERON:0000059,venous capillary,26
celltypist,UBERON:0000059,�� cells (INS+),10
celltypist,UBERON:0002108,Activated CD4 T,25
celltypist,UBERON:0002108,Activated CD8 T,28
celltypist,UBERON:0002108,Activated T,42
celltypist,UBERON:0002108,Adult Glia,38
celltypist,UBERON:0002108,BEST2+ Goblet cell,28
celltypist,UBERON:0002108,BEST4+ epithelial,41
celltypist,UBERON:0002108,Branch A1 (iMN),29
