organ,organ_id,as_label,as_volume,rui_location_one_as_count,rui_location_count,rui_locations_with_ct,rui_locations_no_ct,ct_not_in_hra,ct_in_hra,ct_from_hra_only,experimental_ct_count,ct_labels_from_experimental_data,predicted_cells_per_ct
VHFHeart,UBERON:0000948,Posteromedial head of posterior papillary muscle of left ventricle,4401.498768462402,0,1,36,0,8,42,0,50,Neut; B_plasma; Mesothelial; B; Capillary Endothelial; EC1_cap; EC2_cap; EC3_cap; cardiac endothelial cell; cardiac muscle cell; CD8+T_trans; CD8+T_te; Endothelial; EC4_immune; Arterial Endothelial; EC5_art; Lymphatic Endothelial; EC8_ln; Mast; CD4+T_naive; Pericyte; PC1_vent; FB1; Fibroblast; FB5; FB3; FB4_activated; hepatocyte; Macrophage; macrophage; LYVE1+TIMD4+MP; LYVE1+IGF1+MP; LYVE1+MP_cycling; smooth muscle cell; Smooth Muscle; SMC1_basic; EC6_ven; T; CD8+T_cytox; Adipocyte; Adip1; Adip2; NK; NK_CD56hi; CD8+T_em; MAIT-like; Monocyte/cDC; CD16+Mo; Venous Endothelial; T/NK_cycling; ILC; CD4+T_Tfh; gdT; Ventricular Cardiomycoyte; fibroblast of cardiac tissue; CD14+Mo; CD4+T_reg; NK_CD16hi; Atrial Cardiomyocyte; vCM1; CD4+T_act; aCM1; NC1_glial; NC2_glial_NGF+; vCM3_stressed; vCM2; aCM5; aCM2; DC; CD4+T_Th2; SAN_P_cell; Endocardial; EC7_endocardial; CD4+T_Th1; Neuronal; CD4+T_Th17,391.875
VHFHeart,UBERON:0000948,heart left ventricle,229312.7801882646,102,8,139,0,10,43,23,53,CD8+T_trans; CD8+T_te; EC4_immune; EC10_CMC-like; EC9_FB-like; Endothelial; Arterial Endothelial; EC5_art; Lymphatic Endothelial; EC8_ln; FB1; Fibroblast; FB4_activated; FB3; FB5; FB2; hepatocyte; Macrophage; LYVE1+IGF1+MP; macrophage; LYVE1+TIMD4+MP; LYVE1+MP_cycling; Mast; CD4+T_naive; Mesothelial; Meso; B; Capillary Endothelial; EC1_cap; EC3_cap; EC2_cap; cardiac endothelial cell; cardiac muscle cell; NK_CD56hi; CD8+T_em; MAIT-like; Monocyte/cDC; Neuronal; NC1_glial; NC2_glial_NGF+; CD4+T_act; NK_CD16hi; CD14+Mo; fibroblast of cardiac tissue; gdT; Ventricular Cardiomycoyte; vCM1; vCM2; vCM4; vCM3_stressed; Atrial Cardiomyocyte; aCM2; aCM4; aCM3; aCM1; aCM5; CD4+T_reg; AVN_P_cell; AVN_bundle_cell; CD4+T_Th1; SAN_P_cell; EC7_endocardial; Endocardial; Purkinje_cell; DC; CD4+T_Th17; CD4+T_Th2; T/NK_cycling; Neut; B_plasma; Adipocyte; Adip2; Adip1; Adip3; CD16+Mo; Venous Endothelial; NK; ILC; CD4+T_Tfh; PC1_vent; PC2_atria; Pericyte; PC3_str; PC4_CMC-like; Smooth Muscle; smooth muscle cell; SMC1_basic; EC6_ven; T; CD8+T_cytox,478.12876785096605228048
VHFHeart,UBERON:0000948,heart right ventricle,78714.75572486871,49,3,86,0,9,42,22,51,Neut; B_plasma; Mesothelial; Meso; T/NK_cycling; ILC; CD4+T_reg; CD4+T_Tfh; gdT; CD4+T_Th1; Atrial Cardiomyocyte; aCM1; aCM5; aCM2; Ventricular Cardiomycoyte; vCM4; vCM2; vCM1; vCM3_stressed; CD4+T_act; CD14+Mo; fibroblast of cardiac tissue; NK_CD16hi; NC1_glial; NC2_glial_NGF+; AVN_P_cell; CD8+T_te; Lymphatic Endothelial; EC8_ln; FB1; Fibroblast; FB3; FB4_activated; FB5; hepatocyte; Macrophage; LYVE1+IGF1+MP; macrophage; MoMP; LYVE1+TIMD4+MP; LYVE1+MP_cycling; Mast; Neuronal; CD4+T_Th17; DC; NK_CD56hi; CD8+T_em; MAIT-like; Monocyte/cDC; CD16+Mo; NK; Venous Endothelial; CD4+T_Th2; Endocardial; EC7_endocardial; SAN_P_cell; Capillary Endothelial; EC2_cap; EC1_cap; EC3_cap; cardiac endothelial cell; cardiac muscle cell; CD8+T_trans; B; CD4+T_naive; PC1_vent; Pericyte; PC2_atria; PC3_str; Smooth Muscle; smooth muscle cell; SMC1_basic; EC6_ven; EC10_CMC-like; EC4_immune; Endothelial; EC5_art; Arterial Endothelial; T; Adipocyte; Adip1; Adip2; CD8+T_cytox,393.09761925355706439476
VHFHeart,UBERON:0000948,interventricular septum,65894.53465930313,0,2,37,0,8,42,19,50,hepatocyte; Adipocyte; Adip1; Adip2; Venous Endothelial; NK; CD16+Mo; MAIT-like; Monocyte/cDC; CD4+T_Th2; SAN_P_cell; Endocardial; EC7_endocardial; CD4+T_Th1; Mast; CD4+T_naive; Pericyte; PC1_vent; Smooth Muscle; smooth muscle cell; SMC1_basic; EC6_ven; T; CD8+T_cytox; cardiac endothelial cell; Capillary Endothelial; EC1_cap; EC2_cap; EC3_cap; CD8+T_te; Endothelial; EC4_immune; cardiac muscle cell; Neut; B_plasma; CD8+T_trans; Arterial Endothelial; EC5_art; Lymphatic Endothelial; EC8_ln; Fibroblast; FB1; FB4_activated; FB3; FB5; Macrophage; macrophage; LYVE1+TIMD4+MP; LYVE1+IGF1+MP; LYVE1+MP_cycling; NK_CD56hi; CD8+T_em; CD4+T_Th17; DC; Neuronal; Mesothelial; B; CD14+Mo; CD4+T_reg; NK_CD16hi; Atrial Cardiomyocyte; aCM1; aCM5; aCM2; CD4+T_act; NC1_glial; NC2_glial_NGF+; T/NK_cycling; ILC; CD4+T_Tfh; gdT; Ventricular Cardiomycoyte; vCM1; vCM3_stressed; vCM2; fibroblast of cardiac tissue,445.87065690984247570104
VHFHeart,UBERON:0000948,left cardiac atrium,18115.96846829785,49,1,49,0,8,40,22,48,ILC; CD4+T_Tfh; Atrial Cardiomyocyte; aCM4; aCM1; aCM3; CD14+Mo; NC1_glial; vCM4; Ventricular Cardiomycoyte; vCM1; vCM2; fibroblast of cardiac tissue; CD4+T_act; NK_CD16hi; CD4+T_reg; Monocyte/cDC; Neuronal; Purkinje_cell; DC; CD4+T_Th2; Endocardial; EC7_endocardial; CD4+T_Th1; T/NK_cycling; CD8+T_em; CD8+T_trans; Arterial Endothelial; EC5_art; Lymphatic Endothelial; EC8_ln; Fibroblast; FB1; FB2; FB3; hepatocyte; Macrophage; LYVE1+IGF1+MP; macrophage; LYVE1+TIMD4+MP; Mast; CD4+T_naive; Pericyte; PC1_vent; PC2_atria; Smooth Muscle; smooth muscle cell; CD8+T_te; EC10_CMC-like; Endothelial; EC4_immune; CD16+Mo; NK; CD8+T_cytox; Adipocyte; Adip1; Adip2; Venous Endothelial; MAIT-like; NK_CD56hi; Mesothelial; Meso; B; Capillary Endothelial; EC2_cap; EC1_cap; EC3_cap; Neut; B_plasma; SMC1_basic; SMC2_art; EC6_ven; T; cardiac endothelial cell; cardiac muscle cell,219.01232190989603388525
VHFHeart,UBERON:0000948,right cardiac atrium,33225.9013445354,36,1,36,0,9,38,26,47,Mesothelial; Meso; Capillary Endothelial; EC1_cap; EC2_cap; cardiac endothelial cell; cardiac muscle cell; CD8+T_trans; Endothelial; EC10_CMC-like; EC4_immune; Arterial Endothelial; EC5_art; Fibroblast; FB3; FB2; FB4_activated; hepatocyte; Macrophage; LYVE1+IGF1+MP; MoMP; LYVE1+TIMD4+MP; macrophage; Mast; CD4+T_naive; Pericyte; PC2_atria; PC4_CMC-like; CD8+T_te; Lymphatic Endothelial; EC8_ln; EC6_ven; T; CD8+T_cytox; Adipocyte; Adip1; Adip2; CD16+Mo; Venous Endothelial; NK; SMC1_basic; SMC2_art; fibroblast of cardiac tissue; CD4+T_Tfh; Ventricular Cardiomycoyte; vCM3_stressed; vCM1; vCM4; Atrial Cardiomyocyte; aCM2; aCM3; aCM1; NC1_glial; NC2_glial_NGF+; CD14+Mo; CD4+T_act; CD4+T_reg; DC; B; B_plasma; MAIT-like; CD8+T_em; NK_CD56hi; Monocyte/cDC; Neuronal; CD4+T_Th1; T/NK_cycling; ILC; NK_CD16hi; AVN_P_cell; CD4+T_Th2; Endocardial; EC7_endocardial; Smooth Muscle; smooth muscle cell,148.81867423265411400567
VHFLargeIntestine,UBERON:0000059,ascending colon,46838.66491802995,0,2,2,0,150,18,37,168,"neutrophil; plasma cell; Tfh; Tuft; LYVE1+ Macrophage; Stromal 3 (KCNN3+); Transitional Stromal 3 (C3+); LEC5 (CLDN11+); Stromal 3 (C7+); Lymphoid DC; Microfold cell; angiogenic pericyte; Mesothelium (RGS5+); Stromal 2 (CH25H+); venous capillary; Mesoderm 1 (HAND1+); LEC6 (ADAMTS4+); FDC; EECs; Branch A2 (IPAN/IN); Macrophages; Th1; DZ GC cell; Paneth; Glia 3 (BCAN+); NK; MUC1+ Enterocyte; CD66+ Enterocyte; Smooth muscle; M1 Macrophage; Goblet; Neuroendocrine; CD57+ Enterocyte; DC; M2 Macrophage; B; Neutrophil; Endothelial; Mast cell; CD4-positive, alpha-beta T cell; enterocyte of epithelium of large intestine; monocyte; paneth cell of colon; transit amplifying cell of colon; CX3CR1+ CD8 Tmem; FCRL4+ Memory B; Activated CD4 T; M/X cells (MLN/GHRL+); Treg; ENCC/glia Progenitor; cycling neuroblast; BEST4+ epithelial; Goblet cell; L cells (PYY+); Cycling plasma cell; Activated T; Glia 2 (ELN+); Stem cells; Enterocyte; TRGV2 gdT; Branch B1 (eMN); Cycling TA; Plasma; CD4+ T cell; Stroma; CD7+ Immune; SMC (PLPP2+); Branch A1 (iMN); myofibroblast (RSPO2+); myofibroblast; LEC4 (STAB2+); LEC1 (ACKR4+); NK cell; STAT1+ Naive B; SMC (PART1/CAPN3+); Memory B; Adult Glia; Monocytes; Branch A4 (IN); mLTo; Contractile pericyte (PLN+); IgA plasma cell; Mature arterial EC; NK T cell; Mature venous EC; ILC2; Progenitor (NEUROG3+); Distal progenitor; LEC3 (ADGRG3+); K cells (GIP+); TRDV2/TRGV9 gdT; RBC; gdT; Mesoderm 2 (ZEB2+); BEST2+ Goblet cell; Stromal 1 (CCL11+); Colonocyte; intestinal tuft cell; CD8+ T; Lymphatic; Nerve; B cell; CD8-positive, alpha-beta T cell; fibroblast; arterial capillary; intestinal crypt stem cell of large intestine; TA; mast cell; LTi-like NCR- ILC3; LTi-like NCR+ ILC3; Stromal 2 (NPY+); cycling EC; Mesothelium; Pre-B; Proximal progenitor; LEC2 (MADCAM1+); EC cells (TAC1+); CLC+ Mast cell; Neuroblast; Branch B2 (eMN); Branch B3 (IPAN); cDC1; MMP9+ Inflammatory macrophage; ILCP; CLDN10+ cells; CLP; IgM plasma cell; ICC; N cells (NTS+); Megakaryocyte; EC cells (NPW+); large intestine goblet cell; gut endothelial cell; intestinal enteroendocrine cell; Pericyte; Immature pericyte; mLN Stroma (FMO2+); GC B cell; Mesothelium (PRG4+); TRGV4 gdT; MAIT cell; SELL+ CD4 T; MPO+ mono-neutrophil; Immature B; pDC; Pro-B; Naive B; Differentiating glia; Glia 1 (DHH+); Cycling B cell; SELL+ CD8 T; Fetal arterial EC; Activated CD8 T; Fetal venous EC; Th17; I cells (CCK+); IgG plasma cell; ILC3; cycling ENCC/glia; Stromal 4 (MMP1+); LZ GC cell; cDC2; D cells (SST+); Branch A3 (IPAN/IN); TRGV5/7 gdT; β cells (INS+); CD8 Tmem; T reticular; Germ",150.60204734484964811260
VHFLargeIntestine,UBERON:0000059,caecum,31765.15370754535,0,2,2,0,150,18,36,168,"mast cell; arterial capillary; intestinal crypt stem cell of large intestine; Plasma; CD4+ T cell; Stroma; ICC; CD7+ Immune; NK; Enterocyte; MUC1+ Enterocyte; TA; CD66+ Enterocyte; Paneth; Smooth muscle; M1 Macrophage; Goblet; Neuroendocrine; CD57+ Enterocyte; DC; M2 Macrophage; neutrophil; plasma cell; Mast cell; CD4-positive, alpha-beta T cell; monocyte; paneth cell of colon; transit amplifying cell of colon; intestinal tuft cell; CD8+ T; Lymphatic; Nerve; B cell; CD8-positive, alpha-beta T cell; fibroblast; enterocyte of epithelium of large intestine; Activated CD8 T; Stromal 1 (CCL11+); Memory B; Glia 2 (ELN+); L cells (PYY+); LEC3 (ADGRG3+); FDC; MAIT cell; TRDV2/TRGV9 gdT; Th1; Germ; CLDN10+ cells; Pro-B; Activated CD4 T; Stromal 2 (CH25H+); Differentiating glia; Immature B; LEC5 (CLDN11+); M/X cells (MLN/GHRL+); LEC2 (MADCAM1+); β cells (INS+); venous capillary; IgM plasma cell; RBC; NK cell; CLP; ILC2; Distal progenitor; K cells (GIP+); IgA plasma cell; Macrophages; Mature venous EC; STAT1+ Naive B; LEC6 (ADAMTS4+); Microfold cell; LYVE1+ Macrophage; myofibroblast; BEST2+ Goblet cell; EC cells (NPW+); Contractile pericyte (PLN+); Transitional Stromal 3 (C3+); Branch B1 (eMN); Naive B; Glia 1 (DHH+); angiogenic pericyte; SELL+ CD8 T; Pre-B; CLC+ Mast cell; Mesothelium; DZ GC cell; FCRL4+ Memory B; MPO+ mono-neutrophil; pDC; IgG plasma cell; cycling neuroblast; N cells (NTS+); Mesothelium (PRG4+); gdT; B; Neutrophil; Endothelial; Cycling TA; Stem cells; ENCC/glia Progenitor; Cycling B cell; BEST4+ epithelial; Pericyte; Branch A4 (IN); mLN Stroma (FMO2+); Branch A2 (IPAN/IN); CD8 Tmem; Mesothelium (RGS5+); Neuroblast; TRGV4 gdT; Fetal arterial EC; Megakaryocyte; cycling EC; cycling ENCC/glia; TRGV5/7 gdT; ILCP; Treg; GC B cell; Mesoderm 2 (ZEB2+); D cells (SST+); EC cells (TAC1+); CX3CR1+ CD8 Tmem; LTi-like NCR- ILC3; LTi-like NCR+ ILC3; LZ GC cell; cDC1; Stromal 2 (NPY+); NK T cell; gut endothelial cell; large intestine goblet cell; intestinal enteroendocrine cell; Goblet cell; Proximal progenitor; Mesoderm 1 (HAND1+); Activated T; SMC (PLPP2+); Stromal 3 (C7+); Immature pericyte; TRGV2 gdT; Tfh; Cycling plasma cell; Stromal 4 (MMP1+); Monocytes; ILC3; Branch A1 (iMN); mLTo; Fetal venous EC; LEC1 (ACKR4+); LEC4 (STAB2+); cDC2; Branch B2 (eMN); Mature arterial EC; Progenitor (NEUROG3+); MMP9+ Inflammatory macrophage; Branch A3 (IPAN/IN); I cells (CCK+); Lymphoid DC; T reticular; Th17; Branch B3 (IPAN); Tuft; Glia 3 (BCAN+); Stromal 3 (KCNN3+); myofibroblast (RSPO2+); Adult Glia; EECs; SELL+ CD4 T; Colonocyte; SMC (PART1/CAPN3+)",150.59156967186164266456
VHFLargeIntestine,UBERON:0000059,descending colon,140721.8643302251,3,3,3,0,149,17,37,166,"cycling stromal; neutrophil; plasma cell; Mast cell; CD4-positive, alpha-beta T cell; enterocyte of epithelium of large intestine; IgA plasma cell; Mature venous EC; pDC; angiogenic pericyte; SMC (PART1/CAPN3+); FCRL4+ Memory B; Mesoderm 1 (HAND1+); Macrophages; MPO+ mono-neutrophil; venous capillary; FDC; SELL+ CD8 T; CX3CR1+ CD8 Tmem; SELL+ CD4 T; β cells (INS+); Mesothelium (PRG4+); monocyte; paneth cell of colon; transit amplifying cell of colon; intestinal tuft cell; CD8+ T; Lymphatic; Nerve; B cell; CD8-positive, alpha-beta T cell; mast cell; arterial capillary; NK; Enterocyte; MUC1+ Enterocyte; TA; CD66+ Enterocyte; Paneth; Smooth muscle; M1 Macrophage; Goblet; Neuroendocrine; CD57+ Enterocyte; DC; M2 Macrophage; B; Neutrophil; Endothelial; Cycling TA; Plasma; CD4+ T cell; Stroma; Stromal 4 (MMP1+); MMP9+ Inflammatory macrophage; EC cells (TAC1+); Activated CD8 T; Branch B3 (IPAN); Th17; Th1; LEC3 (ADGRG3+); Immature B; Branch B2 (eMN); Neuroblast; Branch A1 (iMN); Branch A3 (IPAN/IN); TRGV5/7 gdT; Naive B; Activated CD4 T; ENCC/glia Progenitor; Mesothelium; Monocytes; large intestine goblet cell; gut endothelial cell; intestinal enteroendocrine cell; Glia 3 (BCAN+); Pre-B; Differentiating glia; D cells (SST+); I cells (CCK+); Fetal venous EC; cDC1; MAIT cell; ILC3; BEST4+ epithelial; IgG plasma cell; Treg; Lymphoid DC; mLTo; RBC; CLC+ Mast cell; Pro-B; LTi-like NCR- ILC3; LTi-like NCR+ ILC3; TRGV4 gdT; mLN Stroma (FMO2+); CD8 Tmem; Progenitor (NEUROG3+); Megakaryocyte; N cells (NTS+); Distal progenitor; GC B cell; cycling neuroblast; ILCP; ILC2; TRDV2/TRGV9 gdT; fibroblast; Tfh; Stromal 1 (CCL11+); Tuft; myofibroblast; Transitional Stromal 3 (C3+); Mature arterial EC; NK cell; LEC5 (CLDN11+); Mesothelium (RGS5+); cDC2; Pericyte; LEC4 (STAB2+); SMC (PLPP2+); cycling ENCC/glia; myofibroblast (RSPO2+); LEC6 (ADAMTS4+); Memory B; CLP; NK T cell; L cells (PYY+); Proximal progenitor; Glia 2 (ELN+); Stromal 3 (C7+); Stromal 3 (KCNN3+); LYVE1+ Macrophage; STAT1+ Naive B; Adult Glia; ICC; CD7+ Immune; Goblet cell; Colonocyte; Microfold cell; Cycling plasma cell; Stem cells; Cycling B cell; Contractile pericyte (PLN+); Fetal arterial EC; Immature pericyte; LEC2 (MADCAM1+); DZ GC cell; T reticular; EC cells (NPW+); CLDN10+ cells; Germ; K cells (GIP+); Mesoderm 2 (ZEB2+); LZ GC cell; Glia 1 (DHH+); Activated T; EECs; TRGV2 gdT; Branch B1 (eMN); Branch A4 (IN); Branch A2 (IPAN/IN); BEST2+ Goblet cell; cycling EC; Stromal 2 (CH25H+); Stromal 2 (NPY+); LEC1 (ACKR4+); M/X cells (MLN/GHRL+)",193.12912573673870333988
VHFLargeIntestine,UBERON:0000059,sigmoid colon,30343.709589328162,3,3,3,0,146,18,37,164,"neutrophil; plasma cell; Mast cell; CD4-positive, alpha-beta T cell; enterocyte of epithelium of large intestine; monocyte; paneth cell of colon; transit amplifying cell of colon; intestinal tuft cell; CD8+ T; Lymphatic; LZ GC cell; Glia 1 (DHH+); Neuroblast; K cells (GIP+); DZ GC cell; EC cells (TAC1+); CD8 Tmem; pDC; Immature B; large intestine goblet cell; gut endothelial cell; intestinal enteroendocrine cell; NK; MUC1+ Enterocyte; CD66+ Enterocyte; Smooth muscle; M1 Macrophage; Goblet; Neuroendocrine; CD57+ Enterocyte; Pro-B; Tuft; Pre-B; DC; M2 Macrophage; B; Neutrophil; Endothelial; Cycling TA; Plasma; CD4+ T cell; Stroma; Nerve; B cell; CD8-positive, alpha-beta T cell; mast cell; arterial capillary; intestinal crypt stem cell of large intestine; Stromal 3 (KCNN3+); Memory B; NK T cell; M/X cells (MLN/GHRL+); Stem cells; Branch B2 (eMN); FDC; STAT1+ Naive B; cDC1; MAIT cell; Glia 3 (BCAN+); Stromal 4 (MMP1+); Branch A4 (IN); T reticular; Pericyte; LEC3 (ADGRG3+); IgG plasma cell; Naive B; Branch B3 (IPAN); TRGV4 gdT; fibroblast; Megakaryocyte; Treg; Branch B1 (eMN); Fetal arterial EC; mLN Stroma (FMO2+); cycling EC; MMP9+ Inflammatory macrophage; EC cells (NPW+); RBC; SELL+ CD8 T; Th17; Enterocyte; ILC3; MPO+ mono-neutrophil; Mesothelium; Th1; CX3CR1+ CD8 Tmem; Immature pericyte; IgA plasma cell; CLDN10+ cells; D cells (SST+); ILC2; I cells (CCK+); FCRL4+ Memory B; LEC5 (CLDN11+); cycling neuroblast; venous capillary; cDC2; Activated T; Colonocyte; SMC (PLPP2+); TA; Contractile pericyte (PLN+); SMC (PART1/CAPN3+); myofibroblast; myofibroblast (RSPO2+); Transitional Stromal 3 (C3+); Mature venous EC; Microfold cell; BEST4+ epithelial; Goblet cell; BEST2+ Goblet cell; EECs; NK cell; L cells (PYY+); Mesoderm 1 (HAND1+); TRGV2 gdT; Branch A2 (IPAN/IN); Adult Glia; Stromal 2 (NPY+); Stromal 1 (CCL11+); Mesothelium (RGS5+); ICC; Cycling plasma cell; angiogenic pericyte; Tfh; cycling ENCC/glia; Mature arterial EC; SELL+ CD4 T; LEC6 (ADAMTS4+); Monocytes; Progenitor (NEUROG3+); Proximal progenitor; Fetal venous EC; Branch A1 (iMN); Branch A3 (IPAN/IN); LEC4 (STAB2+); LYVE1+ Macrophage; Stromal 3 (C7+); Cycling B cell; Macrophages; mLTo; Germ; TRDV2/TRGV9 gdT; Activated CD8 T; Distal progenitor; LEC1 (ACKR4+); CLP; ENCC/glia Progenitor; CLC+ Mast cell; Paneth; ILCP; N cells (NTS+); CD7+ Immune; Glia 2 (ELN+); LTi-like NCR- ILC3; Stromal 2 (CH25H+); Lymphoid DC; Mesothelium (PRG4+); TRGV5/7 gdT; LEC2 (MADCAM1+); GC B cell; Differentiating glia; Activated CD4 T",135.27022475172774260991
