sex,consortium,dataset_count,cell_count,modality
Female,GTEx,7,47863,sc_transcriptomics
Male,GTEx,8,70113,sc_transcriptomics
Female,HCA,40,659085,sc_transcriptomics
Male,HCA,42,799317,sc_transcriptomics
Female,HuBMAP,175,5490581,sc_transcriptomics
Female,HuBMAP,20,555082,sc_proteomics
Male,HuBMAP,350,14841396,sc_transcriptomics
Male,HuBMAP,54,2061512,sc_proteomics
Female,NHLBI/LungMap,2,29691,sc_transcriptomics
Male,NHLBI/LungMap,7,109809,sc_transcriptomics
Male,SenNet,7,107364,sc_transcriptomics
