Organ_Label,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,CL_Match,dataset_count,cell_count
adipose tissue,UBERON:0001013,B cell,CL:0000236,B cell,CL:0000236,,9,3049
adipose tissue,UBERON:0001013,T cell,CL:0000084,T cell,CL:0000084,,8,8341
adipose tissue,UBERON:0001013,endothelial cell,CL:0000115,endothelial cell,CL:0000115,,11,3308
adipose tissue,UBERON:0001013,fibroblast,CL:0000057,fibroblast,CL:0000057,,10,11610
adipose tissue,UBERON:0001013,leukocyte,CL:0000738,leukocyte,CL:0000738,,10,4285
adipose tissue,UBERON:0001013,macrophage,CL:0000235,macrophage,CL:0000235,,10,5453
adipose tissue,UBERON:0001013,mature NK T cell,CL:0000814,mature NK T cell,CL:0000814,,9,657
adipose tissue,UBERON:0001013,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,CL:0000134,,7,2826
adipose tissue,UBERON:0001013,myofibroblast cell,CL:0000186,myofibroblast cell,CL:0000186,,8,1697
adipose tissue,UBERON:0001013,neutrophil,CL:0000775,neutrophil,CL:0000775,,6,985
adipose tissue,UBERON:0001013,plasma cell,CL:0000786,plasma cell,CL:0000786,,9,550
adipose tissue,UBERON:0001013,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,,7,52
blood,UBERON:0000178,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",CL:0001201,,51,74
blood,UBERON:0000178,CD141-positive myeloid dendritic cell,CL:0002394,CD141-positive myeloid dendritic cell,CL:0002394,,523,29770
blood,UBERON:0000178,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",CL:0000624,,159,393
blood,UBERON:0000178,"CD4-positive, alpha-beta memory T cell",CL:0000897,"CD4-positive, alpha-beta memory T cell",CL:0000897,,2792,2541239
blood,UBERON:0000178,"CD8-positive, alpha-beta T cell",CL:0000625,"CD8-positive, alpha-beta T cell",CL:0000625,,2783,764310
blood,UBERON:0000178,"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,"CD8-positive, alpha-beta cytokine secreting effector T cell",CL:0000908,,2757,512326
blood,UBERON:0000178,T cell,CL:0000084,T cell,CL:0000084,,385,1860
blood,UBERON:0000178,basophil,CL:0000767,basophil,CL:0000767,,780,30729
blood,UBERON:0000178,classical monocyte,CL:0000860,classical monocyte,CL:0000860,,2787,1864072
blood,UBERON:0000178,erythrocyte,CL:0000232,erythrocyte,CL:0000232,,475,17713
blood,UBERON:0000178,hematopoietic stem cell,CL:0000037,hematopoietic stem cell,CL:0000037,,1248,416276
blood,UBERON:0000178,mature NK T cell,CL:0000814,mature NK T cell,CL:0000814,,2789,673006
blood,UBERON:0000178,memory B cell,CL:0000787,memory B cell,CL:0000787,,2790,452600
blood,UBERON:0000178,naive B cell,CL:0000788,naive B cell,CL:0000788,,2774,646568
