organId,organ,sex,modality,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,kidney pyramid,0.32614602303197543,4,88
UBERON:0002108,small intestine,Female,sc_proteomics,Superior part of duodenum,Distal part of ileum,0.8342696607074784,6,17
UBERON:0002108,small intestine,Female,sc_transcriptomics,Superior part of duodenum,Distal part of ileum,0.9651954187581145,6,17
UBERON:0002108,small intestine,Female,sc_transcriptomics,ileum,Distal part of ileum,1,5,17
UBERON:0002108,small intestine,Female,sc_proteomics,ileum,Distal part of ileum,0.9999999999999999,5,17
UBERON:0002108,small intestine,Male,sc_proteomics,Ascending part of duodenum,Distal part of ileum,0.9654819300822738,18,17
UBERON:0002108,small intestine,Male,sc_transcriptomics,Ascending part of duodenum,Distal part of ileum,0.87157241739279945,18,17
UBERON:0002108,small intestine,Female,sc_proteomics,Ascending part of duodenum,Distal part of ileum,0.8987792823144939,18,17
UBERON:0002108,small intestine,Female,sc_transcriptomics,Ascending part of duodenum,Distal part of ileum,0.9927434553091436,18,17
UBERON:0002108,small intestine,Female,sc_transcriptomics,Horizontal part of duodenum,Distal part of ileum,0.9927434553091435,18,17
UBERON:0002108,small intestine,Male,sc_transcriptomics,Horizontal part of duodenum,Distal part of ileum,0.87157241739279945,18,17
UBERON:0002108,small intestine,Male,sc_proteomics,Horizontal part of duodenum,Distal part of ileum,0.965481930082274,18,17
UBERON:0002108,small intestine,Female,sc_proteomics,Horizontal part of duodenum,Distal part of ileum,0.898779282314494,18,17
UBERON:0002108,small intestine,Female,sc_proteomics,jejunum,Distal part of ileum,0.8682169264342164,16,17
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal papilla,renal column,0.06750799460377015,4,13
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,renal column,0.06750799460377015,4,13
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal papilla,kidney pyramid,0.32614602303197543,4,88
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal papilla,kidney capsule,0.9278614250944998,4,6
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,kidney capsule,0.9278614250944998,4,6
UBERON:0004538,left kidney,Female,sc_transcriptomics,renal column,kidney capsule,0.7881827355652239,13,6
UBERON:0004539,right kidney,Female,sc_transcriptomics,renal column,kidney capsule,0.7881827355652239,13,6
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal column,kidney capsule,0.08446934701959927,13,6
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal column,kidney capsule,0.08446934701959927,13,6
UBERON:0002106,spleen,Male,sc_transcriptomics,hilum of spleen,Diaphragmatic surface of spleen,0.954670912528831,6,11
UBERON:0002106,spleen,Female,sc_transcriptomics,hilum of spleen,Diaphragmatic surface of spleen,0.9999999999999998,6,11
UBERON:0004539,right kidney,Male,sc_transcriptomics,outer cortex of kidney,kidney pyramid,0.7769177590021035,117,88
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,outer cortex of kidney,0.4570894352448568,4,117
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal papilla,outer cortex of kidney,0.4570894352448568,4,117
UBERON:0000059,large intestine,Female,sc_proteomics,caecum,transverse colon,0.879770365196477,5,15
UBERON:0000059,large intestine,Female,sc_transcriptomics,caecum,transverse colon,0.91177858131727665,5,15
UBERON:0000059,large intestine,Female,sc_proteomics,ascending colon,transverse colon,0.8797703651964769,18,15
UBERON:0004538,left kidney,Female,sc_transcriptomics,outer cortex of kidney,hilum of kidney,0.7366625544522778,117,3
UBERON:0004538,left kidney,Male,sc_transcriptomics,outer cortex of kidney,hilum of kidney,0.5327195347623155,117,3
UBERON:0004539,right kidney,Female,sc_transcriptomics,outer cortex of kidney,hilum of kidney,0.7366625544522778,117,3
UBERON:0004539,right kidney,Male,sc_transcriptomics,outer cortex of kidney,hilum of kidney,0.5327195347623155,117,3
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal papilla,hilum of kidney,0.06750799460377013,4,3
UBERON:0000059,large intestine,Female,sc_proteomics,transverse colon,sigmoid colon,0.9734216805751224,15,19
UBERON:0004539,right kidney,Female,sc_transcriptomics,outer cortex of kidney,kidney pyramid,0.894924893465926,117,88
UBERON:0004539,right kidney,Male,sc_transcriptomics,renal column,kidney pyramid,0.7175571295258735,13,88
UBERON:0004538,left kidney,Male,sc_transcriptomics,renal column,kidney pyramid,0.7175571295258735,13,88
UBERON:0000059,large intestine,Male,sc_transcriptomics,rectum,sigmoid colon,1.0000000000000000,13,19
UBERON:0000059,large intestine,Male,sc_proteomics,rectum,sigmoid colon,1.0000000000000002,13,19
UBERON:0000059,large intestine,Male,sc_transcriptomics,transverse colon,sigmoid colon,0.8816473648528720,15,19
UBERON:0000059,large intestine,Female,sc_transcriptomics,transverse colon,sigmoid colon,0.53094977249897458,15,19
UBERON:0000059,large intestine,Male,sc_proteomics,transverse colon,sigmoid colon,0.9503327437886708,15,19
UBERON:0000948,heart,Female,sc_transcriptomics,heart right ventricle,heart left ventricle,0.47232492998414714667,29,64
