sex,consortium,dataset_count,cell_count,modality
Female,GTEx,7,47863,sc_transcriptomics
Male,GTEx,8,70113,sc_transcriptomics
Female,HCA,50,323276,sc_transcriptomics
Male,HCA,53,345881,sc_transcriptomics
Female,HuBMAP,23,1514227,sc_proteomics
Female,HuBMAP,116,2951598,sc_transcriptomics
Male,HuBMAP,255,6643168,sc_transcriptomics
Male,HuBMAP,84,16033284,sc_proteomics
Female,KPMP,14,58809,sc_transcriptomics
Male,KPMP,13,54092,sc_transcriptomics
Female,NHLBI/LungMap,2,9897,sc_transcriptomics
Male,NHLBI/LungMap,7,36603,sc_transcriptomics
