dataset,publication,publication_lead_author,publication_title
https://entity.api.hubmapconsortium.org/entities/0b528e5d674fadada32215c364f6fcaa,,,
https://entity.api.hubmapconsortium.org/entities/176edb4b0e16059522f6f087576fbeec,,,
https://entity.api.hubmapconsortium.org/entities/319aafd9420a0c1c6f175d6a2ef060a9,,,
https://entity.api.hubmapconsortium.org/entities/33fcecfcdb5a264554dc06db897cd4f8,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/377df3da484d29fdde20ec020a76ba1b,,,
https://entity.api.hubmapconsortium.org/entities/391061b538480d6d630bdfec283c0293,,,
https://entity.api.hubmapconsortium.org/entities/3de525fe3e5718f297e8d62e037a042d,,,
https://entity.api.hubmapconsortium.org/entities/3febd011f193673c6f87a60718dd8f96,,,
https://entity.api.hubmapconsortium.org/entities/4b16c24a3997ea8754921b0f1d60bc4d,,,
https://entity.api.hubmapconsortium.org/entities/5d111a1db2f18d507d23e79b993e1e4a,,,
https://entity.api.hubmapconsortium.org/entities/65e850415322baad58626e3a228478dc,https://doi.org/10.1038/s42003-023-04991-z,,
https://entity.api.hubmapconsortium.org/entities/6df2f796ad72307d04dc94d688b725c5,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/763635933fb185b0174ea09273b36583,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/7b99b447ffc977a3f6f890d32c7238b3,,,
https://entity.api.hubmapconsortium.org/entities/811e4fd5a09896edcb70814a582e85e4,,,
https://entity.api.hubmapconsortium.org/entities/84db9a72aba9ae0ef740192ad8747ee3,,,
https://entity.api.hubmapconsortium.org/entities/8ccdee5587a477c482be2e6e19dddf7a,,,
https://entity.api.hubmapconsortium.org/entities/8df15cb20f5e127d102a73d0ec5682a0,,,
https://entity.api.hubmapconsortium.org/entities/91cfb45f5d398e950ed65786c87f4372,,,
https://entity.api.hubmapconsortium.org/entities/9305d53ae8c0dd565a088cd45f20e0c8,,,
https://entity.api.hubmapconsortium.org/entities/a69367866979f878635b2b665a6a7e0c,,,
https://entity.api.hubmapconsortium.org/entities/b1a0bb5adb99161eb40f977358187c6d,,,
https://entity.api.hubmapconsortium.org/entities/b1ac71625c1aba9d819fae1725c27a42,,,
https://entity.api.hubmapconsortium.org/entities/b340bb5715f967aa74d1b8eaeec0d475,,,
https://entity.api.hubmapconsortium.org/entities/bbcad31a55b1710dd5f889be8f63b62b,,,
https://entity.api.hubmapconsortium.org/entities/ca35382d67c90d4d9bca1ee16526b1d3,,,
https://entity.api.hubmapconsortium.org/entities/d0c1bd09443c301413f44f7108d20e08,,,
https://entity.api.hubmapconsortium.org/entities/d171ff8d83f707ecca64ff159c7160a7,,,
https://entity.api.hubmapconsortium.org/entities/d48b7990d638dbede870ae9c1976e475,,,
https://entity.api.hubmapconsortium.org/entities/d87b2121ee1a5777c29a69307f806328,,,
https://entity.api.hubmapconsortium.org/entities/d8ec264c4660ef7053764f71ae1789d0,,,
https://entity.api.hubmapconsortium.org/entities/e3b831b46c84bc66e88fa410cf89dc2d,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/f3a05f31c6ea4e2315bc66ff468a5a0a,,,
https://entity.api.hubmapconsortium.org/entities/f412e76986c1012ea9589d545ed8f043,,,
https://entity.api.hubmapconsortium.org/entities/0b590c9e3a62178da592e85572e2f1bf,,,
https://entity.api.hubmapconsortium.org/entities/0b6f63f2bd61a8c091fc7afc0f318ad1,,,
https://entity.api.hubmapconsortium.org/entities/0f35f3bd23a8f773c7213d558338e74d,,,
https://entity.api.hubmapconsortium.org/entities/171bd6114652ce2a1ff0e4757b5eaef9,,,
https://entity.api.hubmapconsortium.org/entities/17f67cb15e59f65e640d85d2f3866cde,,,
https://entity.api.hubmapconsortium.org/entities/19304b10d9e1f17af19cccb2feb014a5,,,
https://entity.api.hubmapconsortium.org/entities/237b8f24c23821690519af862cf25a9f,,,
https://entity.api.hubmapconsortium.org/entities/293d9f9a1a076c616ed91d7251ec831c,,,
https://entity.api.hubmapconsortium.org/entities/2d3dbd5e5a3d9d5cfc7a46f06815a4eb,,,
https://entity.api.hubmapconsortium.org/entities/2dac500177620d78ca174c2c1d36a6c8,,,
https://entity.api.hubmapconsortium.org/entities/3152ddcb811d362113ebb119602f2cd4,,,
https://entity.api.hubmapconsortium.org/entities/37ccf28cb5c06e8ba076f587ee4e50be,,,
https://entity.api.hubmapconsortium.org/entities/434fbc55d458dc4e06da9ba4961f3840,,,
https://entity.api.hubmapconsortium.org/entities/4369a119a9c06ea304003a5c3cb3a2e0,,,
https://entity.api.hubmapconsortium.org/entities/43b15fb53db3518a5b1b0dcd4a63ddda,,,
https://entity.api.hubmapconsortium.org/entities/47015df8ab7615a9ce26098d88196dde,,,
https://entity.api.hubmapconsortium.org/entities/4b5dc6d04aa30a6eb0b224a7ab7d03b3,,,
https://entity.api.hubmapconsortium.org/entities/53fe8a84564b313d4e8ee90f337129dc,,,
https://entity.api.hubmapconsortium.org/entities/57054da2dbe87b93f1adb78444086963,,,
https://entity.api.hubmapconsortium.org/entities/58167d0f778284d5b95af782bd8132da,,,
https://entity.api.hubmapconsortium.org/entities/79f087ae551dd72997f174646bb0d5e0,,,
https://entity.api.hubmapconsortium.org/entities/7d70a4deb9e2f0592f0c56e20ca91169,,,
https://entity.api.hubmapconsortium.org/entities/7edbff53248f2a2c8e74f5f955681734,,,
https://entity.api.hubmapconsortium.org/entities/7f1e932a91a86ef58ed61ee19c175c18,,,
https://entity.api.hubmapconsortium.org/entities/853ab5348f619043ab2f997ac8ae14f0,,,
https://entity.api.hubmapconsortium.org/entities/85fa094cbdb29173e0a3463dce0790fc,,,
https://entity.api.hubmapconsortium.org/entities/92248f72d47b916a2027085ec1b8e996,,,
https://entity.api.hubmapconsortium.org/entities/9a7e6be288b27ddbd3366c4ae41bbcd2,,,
https://entity.api.hubmapconsortium.org/entities/9aed52d22e30b893045fd1f79b3663fb,,,
https://entity.api.hubmapconsortium.org/entities/9b99c75de2347b9567e33065108488e8,,,
https://entity.api.hubmapconsortium.org/entities/a39fed027b51d97f83cec90c63c44744,,,
https://entity.api.hubmapconsortium.org/entities/aa93e53df10842c13348a334c8fe423f,,,
https://entity.api.hubmapconsortium.org/entities/ac1d4544ab4886b851f74b2c21952378,,,
https://entity.api.hubmapconsortium.org/entities/b0f51c557f05bcff69c9eed090c93b79,,,
https://entity.api.hubmapconsortium.org/entities/d6e6c8e452ed628425e9e928306a6db0,,,
https://entity.api.hubmapconsortium.org/entities/dd648e4648238b25a7d1062669ea89af,,,
https://entity.api.hubmapconsortium.org/entities/de78115cc476af9422f916ddfbccbfb6,,,
https://entity.api.hubmapconsortium.org/entities/e7bdf34c4da9f1d880f2615226e9713d,,,
https://entity.api.hubmapconsortium.org/entities/e81c9c9753998b2ca69e8bceadf2409d,,,
https://entity.api.hubmapconsortium.org/entities/ed630484e46ea49b319c0e1f92140059,,,
https://entity.api.hubmapconsortium.org/entities/ee6e44b3e6cb77ef1806e722390a01a8,,,
https://entity.api.hubmapconsortium.org/entities/f7a8e78dea9cf70735059e8b4a179701,,,
https://entity.api.hubmapconsortium.org/entities/f9848244883f6c70972acef16680431a,,,
https://entity.api.hubmapconsortium.org/entities/faa1acc13943ee9d365b6cc6a3ea889f,,,
https://entity.api.hubmapconsortium.org/entities/fbfdd102ecd60d7cf9d3da8c3d83a5c4,,,
https://entity.api.hubmapconsortium.org/entities/044b28971204366347e7ed0b7ef0c279,,,
https://entity.api.hubmapconsortium.org/entities/0910bfd40695181a73e5059909e46cda,,,
https://entity.api.hubmapconsortium.org/entities/0a21f3fa27109790483f2a0729be53de,,,
https://entity.api.hubmapconsortium.org/entities/0d1eb3d774a694b79e844987f771b183,,,
https://entity.api.hubmapconsortium.org/entities/12de9dcdb62640f1687b832f69648a55,,,
https://entity.api.hubmapconsortium.org/entities/133bc98251c8b80923f550ea2678380e,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/153b0fe8575ff1a17768319ba6dbaa5c,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/1aea5d37b6bef49653515595f228c545,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/1b5c7d45cb0e475b73f9280d092d34a5,,,
https://entity.api.hubmapconsortium.org/entities/1c7aed43c995b32eb9b7233dce635529,,,
https://entity.api.hubmapconsortium.org/entities/1dc16eb0270ff73291dd45b6a96aa3c0,,,
https://entity.api.hubmapconsortium.org/entities/1ef4a756160bd478823f7f400c3d3709,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/206d669d243f6dab04cc126a52cdab8d,,,
https://entity.api.hubmapconsortium.org/entities/22684b9011fc5aea5cb3f89670a461e8,,,
https://entity.api.hubmapconsortium.org/entities/254801a318687281ba3e473569d89a45,,,
https://entity.api.hubmapconsortium.org/entities/277152f17b5a2f308820ab4d85c5a426,,,
https://entity.api.hubmapconsortium.org/entities/29596bee3f70b2bfc89d184fe38a3daa,,,
https://entity.api.hubmapconsortium.org/entities/29a538c3ddb396dee26188ae1151da46,,,
https://entity.api.hubmapconsortium.org/entities/2a4bc7e02193ed50cc8d692db06f042d,,,
https://entity.api.hubmapconsortium.org/entities/2ae126ab16c264352b2d3d2607236b97,,,
https://entity.api.hubmapconsortium.org/entities/2c718a10905c5941d4cc134a7027f808,,,
https://entity.api.hubmapconsortium.org/entities/2cd4eabca0b653af7f3b79534b2d641f,,,
https://entity.api.hubmapconsortium.org/entities/2eca1430db3b9a4129bff717925fe932,,,
https://entity.api.hubmapconsortium.org/entities/32b783576b6c88fec03f5e5988e3effa,,,
https://entity.api.hubmapconsortium.org/entities/3480cd404d4bacd7bb8d21be8de12c6c,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/35f5b75a7e3d0711f16b0a10219586fb,,,
https://entity.api.hubmapconsortium.org/entities/37988db44acc8d0780e4e31cd057e789,,,
https://entity.api.hubmapconsortium.org/entities/3a4fb23a49fba2647dba2b8f57976d25,https://doi.org/10.1038/s41586-023-05915-x,,
https://entity.api.hubmapconsortium.org/entities/3bb5f743b039cb620d7ef234e0876f7a,,,
https://entity.api.hubmapconsortium.org/entities/3e6bdf82a2c9fb71ee98dff673b505af,,,
https://entity.api.hubmapconsortium.org/entities/3f3fc7fbd6c9ddffd3cd96e07b946252,https://doi.org/10.1038/s41586-023-05915-x,,
